"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PAITA (000)",93169,5860,2156,38455,30293,4951,5887,2466,3101
"Hombres (001)",46830,2287,1053,18717,16498,2528,2853,1269,1625
"Mujeres (002)",46339,3573,1103,19738,13795,2423,3034,1197,1476
"PEA (003)",37347,1703,56,11620,13954,2651,3962,1247,2154
"Hombres (004)",28114,1249,41,9036,11164,1878,2517,827,1402
"Mujeres (005)",9233,454,15,2584,2790,773,1445,420,752
"Ocupada (006)",34602,1586,53,10746,12850,2442,3719,1177,2029
"Hombres (007)",25894,1151,38,8311,10235,1717,2349,782,1311
"Mujeres (008)",8708,435,15,2435,2615,725,1370,395,718
"Desocupada (009)",2745,117,3,874,1104,209,243,70,125
"Hombres (010)",2220,98,3,725,929,161,168,45,91
"Mujeres (011)",525,19,,149,175,48,75,25,34
"No PEA (012)",55822,4157,2100,26835,16339,2300,1925,1219,947
"Hombres (013)",18716,1038,1012,9681,5334,650,336,442,223
"Mujeres (014)",37106,3119,1088,17154,11005,1650,1589,777,724
,,,,,,,,,
"URBANA (018)",88910,5373,2068,36182,29293,4820,5737,2431,3006
"Hombres (019)",44553,2090,997,17518,15902,2450,2764,1242,1590
"Mujeres (020)",44357,3283,1071,18664,13391,2370,2973,1189,1416
"PEA (021)",35696,1558,52,10816,13501,2583,3851,1227,2108
"Hombres (022)",26652,1126,37,8315,10738,1824,2433,809,1370
"Mujeres (023)",9044,432,15,2501,2763,759,1418,418,738
"Ocupada (024)",33112,1454,49,10013,12444,2387,3618,1158,1989
"Hombres (025)",24583,1041,34,7655,9856,1676,2271,765,1285
"Mujeres (026)",8529,413,15,2358,2588,711,1347,393,704
"Desocupada (027)",2584,104,3,803,1057,196,233,69,119
"Hombres (028)",2069,85,3,660,882,148,162,44,85
"Mujeres (029)",515,19,,143,175,48,71,25,34
"No PEA (030)",53214,3815,2016,25366,15792,2237,1886,1204,898
"Hombres (031)",17901,964,960,9203,5164,626,331,433,220
"Mujeres (032)",35313,2851,1056,16163,10628,1611,1555,771,678
,,,,,,,,,
"RURAL (036)",4259,487,88,2273,1000,131,150,35,95
"Hombres (037)",2277,197,56,1199,596,78,89,27,35
"Mujeres (038)",1982,290,32,1074,404,53,61,8,60
"PEA (039)",1651,145,4,804,453,68,111,20,46
"Hombres (040)",1462,123,4,721,426,54,84,18,32
"Mujeres (041)",189,22,,83,27,14,27,2,14
"Ocupada (042)",1490,132,4,733,406,55,101,19,40
"Hombres (043)",1311,110,4,656,379,41,78,17,26
"Mujeres (044)",179,22,,77,27,14,23,2,14
"Desocupada (045)",161,13,,71,47,13,10,1,6
"Hombres (046)",151,13,,65,47,13,6,1,6
"Mujeres (047)",10,,,6,,,4,,
"No PEA (048)",2608,342,84,1469,547,63,39,15,49
"Hombres (049)",815,74,52,478,170,24,5,9,3
"Mujeres (050)",1793,268,32,991,377,39,34,6,46
