"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BELLAVISTA (000)",321,18,149,99,45,10
"Conviviente (001)",106,,37,50,17,2
"Separado(a) (002)",4,,2,,2,
"Casado(a) (003)",50,,2,25,19,4
"Viudo(a) (004)",5,,,,2,3
"Soltero(a) (006)",156,18,108,24,5,1
"Hombres (008)",248,17,98,85,39,9
"Conviviente (009)",86,,26,44,14,2
"Separado(a) (010)",2,,,,2,
"Casado(a) (011)",43,,,22,18,3
"Viudo(a) (012)",3,,,,,3
"Soltero(a) (014)",114,17,72,19,5,1
"Mujeres (016)",73,1,51,14,6,1
"Conviviente (017)",20,,11,6,3,
"Separado(a) (018)",2,,2,,,
"Casado(a) (019)",7,,2,3,1,1
"Viudo(a) (020)",2,,,,2,
"Soltero(a) (022)",42,1,36,5,,
,,,,,,
"AREA URBANA (024)",264,16,126,79,36,7
"Conviviente (025)",86,,31,42,12,1
"Separado(a) (026)",3,,1,,2,
"Casado(a) (027)",37,,2,17,16,2
"Viudo(a) (028)",5,,,,2,3
"Soltero(a) (030)",133,16,92,20,4,1
"Hombres (032)",202,15,83,66,32,6
"Conviviente (033)",72,,23,37,11,1
"Separado(a) (034)",2,,,,2,
"Casado(a) (035)",30,,,14,15,1
"Viudo(a) (036)",3,,,,,3
"Soltero(a) (038)",95,15,60,15,4,1
"Mujeres (040)",62,1,43,13,4,1
"Conviviente (041)",14,,8,5,1,
"Separado(a) (042)",1,,1,,,
"Casado(a) (043)",7,,2,3,1,1
"Viudo(a) (044)",2,,,,2,
"Soltero(a) (046)",38,1,32,5,,
,,,,,,
"AREA RURAL (048)",57,2,23,20,9,3
"Conviviente (049)",20,,6,8,5,1
"Separado(a) (050)",1,,1,,,
"Casado(a) (051)",13,,,8,3,2
"Soltero(a) (054)",23,2,16,4,1,
"Hombres (056)",46,2,15,19,7,3
"Conviviente (057)",14,,3,7,3,1
"Casado(a) (059)",13,,,8,3,2
"Soltero(a) (062)",19,2,12,4,1,
"Mujeres (064)",11,,8,1,2,
"Conviviente (065)",6,,3,1,2,
"Separado(a) (066)",1,,1,,,
"Soltero(a) (070)",4,,4,,,
