"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PUERTO INCA (000)",6660,326,3693,1551,350,113,53,9,3,,562
"Catolica (001)",3949,183,2214,902,189,75,33,3,1,,349
"Cristiana / Evangelica (002)",1685,101,904,396,103,28,16,4,2,,131
"Otra (003)",671,21,353,190,39,8,4,1,,,55
"Ninguna (004)",355,21,222,63,19,2,,1,,,27
,,,,,,,,,,,
"URBANA (006)",1471,33,753,388,102,36,25,2,1,,131
"Catolica (007)",896,13,463,231,61,27,16,1,,,84
"Cristiana / Evangelica (008)",431,18,220,109,32,7,8,1,1,,35
"Otra (009)",103,2,44,38,7,1,1,,,,10
"Ninguna (010)",41,,26,10,2,1,,,,,2
,,,,,,,,,,,
"RURAL (012)",5189,293,2940,1163,248,77,28,7,2,,431
"Catolica (013)",3053,170,1751,671,128,48,17,2,1,,265
"Cristiana / Evangelica (014)",1254,83,684,287,71,21,8,3,1,,96
"Otra (015)",568,19,309,152,32,7,3,1,,,45
"Ninguna (016)",314,21,196,53,17,1,,1,,,25
