"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia LEONCIO PRADO (000)",40962,39502,11611,6319,5998,4497,5604,2960,2513,1460
"Católica (001)",25807,24785,7411,4229,3938,2865,3374,1640,1328,1022
"Cristiana/Evangélica (002)",12661,12322,3328,1622,1669,1415,1963,1230,1095,339
"Otra (003)",801,759,225,114,121,81,126,37,55,42
"Ninguna (004)",1693,1636,647,354,270,136,141,53,35,57
,,,,,,,,,,
"URBANA (006)",26236,25110,7854,4157,4024,2982,3358,1560,1175,1126
"Católica (007)",16767,15981,5059,2790,2689,1957,1996,865,625,786
"Cristiana/Evangélica (008)",7787,7529,2206,1038,1061,892,1181,649,502,258
"Otra (009)",617,579,169,94,99,63,92,24,38,38
"Ninguna (010)",1065,1021,420,235,175,70,89,22,10,44
,,,,,,,,,,
"RURAL (012)",14726,14392,3757,2162,1974,1515,2246,1400,1338,334
"Católica (013)",9040,8804,2352,1439,1249,908,1378,775,703,236
"Cristiana/Evangélica (014)",4874,4793,1122,584,608,523,782,581,593,81
"Otra (015)",184,180,56,20,22,18,34,13,17,4
"Ninguna (016)",628,615,227,119,95,66,52,31,25,13
