"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PARINACOCHAS (000)",7887,7663,81,1278,1381,1168,1770,1144,601,240,224,30353
"De 12 a 14 años (001)",7,3,1,2,,,,,,,4,2
"De 15 a 19 años (002)",218,196,6,165,24,,1,,,,22,217
"De 20 a 24 años (003)",778,707,13,386,254,43,11,,,,71,1070
"De 25 a 29 años (004)",815,773,6,232,262,165,98,7,3,,42,1734
"De 30 a 34 años (005)",861,839,7,124,239,207,203,54,4,1,22,2492
"De 35 a 39 años (006)",836,816,1,73,154,178,288,87,32,3,20,3018
"De 40 a 44 años (007)",746,740,3,62,97,122,228,151,59,18,6,3278
"De 45 a 49 años (008)",601,600,3,40,63,97,169,133,67,28,1,2939
"De 50 y más años (009)",3025,2989,41,194,288,356,772,712,436,190,36,15603
"PEA (010)",2743,2655,24,485,547,447,601,331,164,56,88,9681
"De 12 a 14 años (011)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (012)",53,44,2,37,4,,1,,,,9,49
"De 20 a 24 años (013)",251,221,4,113,87,17,,,,,30,338
"De 25 a 29 años (014)",311,288,1,108,93,50,32,3,1,,23,607
"De 30 a 34 años (015)",346,335,3,71,115,66,63,14,2,1,11,893
"De 35 a 39 años (016)",354,346,,39,84,78,110,26,7,2,8,1168
"De 40 a 44 años (017)",338,337,3,36,54,59,101,63,19,2,1,1341
"De 45 a 49 años (018)",268,268,2,23,24,56,79,54,20,10,,1214
"De 50 y más años (019)",820,815,9,57,86,121,215,171,115,41,5,4070
"Ocupada (020)",2685,2601,23,465,538,439,593,323,164,56,84,9533
"De 12 a 14 años (021)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (022)",49,42,2,35,4,,1,,,,7,47
