"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CORONGO (000)",72,16,56
"Sin nivel (001)",3,,3
"Primaria (003)",25,6,19
"Secundaria (004)",36,8,28
"Superior no univ. incompleta (005)",2,2,
"Superior no univ. completa (006)",5,,5
"Superior univ. incompleta (007)",1,,1
"Hombres (010)",61,12,49
"Sin nivel (011)",2,,2
"Primaria (013)",18,2,16
"Secundaria (014)",34,8,26
"Superior no univ. incompleta (015)",2,2,
"Superior no univ. completa (016)",5,,5
"Mujeres (020)",11,4,7
"Sin nivel (021)",1,,1
"Primaria (023)",7,4,3
"Secundaria (024)",2,,2
"Superior univ. incompleta (027)",1,,1
,,,
"AREA URBANA (030)",40,9,31
"Sin nivel (031)",2,,2
"Primaria (033)",15,4,11
"Secundaria (034)",18,5,13
"Superior no univ. completa (036)",4,,4
"Superior univ. incompleta (037)",1,,1
"Hombres (040)",33,6,27
"Sin nivel (041)",1,,1
"Primaria (043)",10,1,9
"Secundaria (044)",18,5,13
"Superior no univ. completa (046)",4,,4
"Mujeres (050)",7,3,4
"Sin nivel (051)",1,,1
"Primaria (053)",5,3,2
"Superior univ. incompleta (057)",1,,1
,,,
"AREA RURAL (060)",32,7,25
"Sin nivel (061)",1,,1
"Primaria (063)",10,2,8
"Secundaria (064)",18,3,15
"Superior no univ. incompleta (065)",2,2,
"Superior no univ. completa (066)",1,,1
"Hombres (070)",28,6,22
"Sin nivel (071)",1,,1
"Primaria (073)",8,1,7
"Secundaria (074)",16,3,13
"Superior no univ. incompleta (075)",2,2,
"Superior no univ. completa (076)",1,,1
"Mujeres (080)",4,1,3
"Primaria (083)",2,1,1
"Secundaria (084)",2,,2
