"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BARRANCA (000)",119215,6049,1350,40238,49095,4313,5333,5627,7210
"Hombres (001)",59774,1608,705,19788,26525,2261,2386,2879,3622
"Mujeres (002)",59441,4441,645,20450,22570,2052,2947,2748,3588
"PEA (003)",52627,1752,44,11848,24465,2505,3650,2750,5613
"Hombres (004)",35376,800,29,7927,18019,1671,2057,1757,3116
"Mujeres (005)",17251,952,15,3921,6446,834,1593,993,2497
"Ocupada (006)",50480,1699,41,11436,23319,2429,3509,2641,5406
"Hombres (007)",33833,768,27,7607,17167,1619,1966,1684,2995
"Mujeres (008)",16647,931,14,3829,6152,810,1543,957,2411
"Desocupada (009)",2147,53,3,412,1146,76,141,109,207
"Hombres (010)",1543,32,2,320,852,52,91,73,121
"Mujeres (011)",604,21,1,92,294,24,50,36,86
"No PEA (012)",66588,4297,1306,28390,24630,1808,1683,2877,1597
"Hombres (013)",24398,808,676,11861,8506,590,329,1122,506
"Mujeres (014)",42190,3489,630,16529,16124,1218,1354,1755,1091
,,,,,,,,,
"URBANA (018)",101965,4019,1152,33509,42289,3918,5035,5169,6874
"Hombres (019)",50641,968,607,16155,22590,2030,2253,2597,3441
"Mujeres (020)",51324,3051,545,17354,19699,1888,2782,2572,3433
"PEA (021)",44963,1036,35,9414,20819,2270,3467,2533,5389
"Hombres (022)",29449,388,24,6059,15003,1492,1942,1584,2957
"Mujeres (023)",15514,648,11,3355,5816,778,1525,949,2432
"Ocupada (024)",43030,1003,32,9068,19779,2198,3331,2431,5188
"Hombres (025)",28079,366,22,5795,14241,1444,1855,1517,2839
"Mujeres (026)",14951,637,10,3273,5538,754,1476,914,2349
"Desocupada (027)",1933,33,3,346,1040,72,136,102,201
"Hombres (028)",1370,22,2,264,762,48,87,67,118
"Mujeres (029)",563,11,1,82,278,24,49,35,83
"No PEA (030)",57002,2983,1117,24095,21470,1648,1568,2636,1485
"Hombres (031)",21192,580,583,10096,7587,538,311,1013,484
"Mujeres (032)",35810,2403,534,13999,13883,1110,1257,1623,1001
,,,,,,,,,
"RURAL (036)",17250,2030,198,6729,6806,395,298,458,336
"Hombres (037)",9133,640,98,3633,3935,231,133,282,181
"Mujeres (038)",8117,1390,100,3096,2871,164,165,176,155
"PEA (039)",7664,716,9,2434,3646,235,183,217,224
"Hombres (040)",5927,412,5,1868,3016,179,115,173,159
"Mujeres (041)",1737,304,4,566,630,56,68,44,65
"Ocupada (042)",7450,696,9,2368,3540,231,178,210,218
"Hombres (043)",5754,402,5,1812,2926,175,111,167,156
"Mujeres (044)",1696,294,4,556,614,56,67,43,62
"Desocupada (045)",214,20,,66,106,4,5,7,6
"Hombres (046)",173,10,,56,90,4,4,6,3
"Mujeres (047)",41,10,,10,16,,1,1,3
"No PEA (048)",9586,1314,189,4295,3160,160,115,241,112
"Hombres (049)",3206,228,93,1765,919,52,18,109,22
"Mujeres (050)",6380,1086,96,2530,2241,108,97,132,90
