"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia ESPINAR",,,,,,,,
"Hogares (001)",16792,14938,4323,1630,115,253,607,1518
"Ocupantes presentes (002)",60806,55745,16813,6259,408,1059,2440,3855
"Casa independiente",,,,,,,,
"Hogares (004)",14361,12791,4242,1572,107,241,588,1245
"Ocupantes presentes (005)",52537,48102,16450,6036,375,1005,2372,3265
"Departamento en edificio",,,,,,,,
"Hogares (007)",12,9,10,4,3,4,6,1
"Ocupantes presentes (008)",40,35,31,17,13,21,26,3
"Vivienda en quinta",,,,,,,,
"Hogares (010)",18,15,12,8,,3,2,2
"Ocupantes presentes (011)",105,89,70,51,,19,10,11
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",36,29,20,12,1,2,8,3
"Ocupantes presentes (014)",109,93,66,34,1,5,26,4
"Choza o cabaña",,,,,,,,
"Hogares (016)",2331,2069,36,31,4,3,1,259
"Ocupantes presentes (017)",7920,7349,191,117,19,9,3,556
"Vivienda improvisada",,,,,,,,
"Hogares (019)",3,2,,1,,,,1
"Ocupantes presentes (020)",4,2,,1,,,,2
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",28,20,3,2,,,2,7
"Ocupantes presentes (023)",81,65,5,3,,,3,14
"Otro tipo",,,,,,,,
"Hogares (025)",3,3,,,,,,
"Ocupantes presentes (026)",10,10,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",7417,6431,3961,1419,103,245,604,671
"Ocupantes presentes (029)",26878,23908,15250,5406,355,1033,2429,1857
"Casa independiente",,,,,,,,
"Hogares (031)",7328,6363,3916,1392,99,236,586,658
"Ocupantes presentes (032)",26570,23654,15078,5300,341,988,2364,1824
"Departamento en edificio",,,,,,,,
"Hogares (034)",12,9,10,4,3,4,6,1
"Ocupantes presentes (035)",40,35,31,17,13,21,26,3
"Vivienda en quinta",,,,,,,,
"Hogares (037)",18,15,12,8,,3,2,2
"Ocupantes presentes (038)",105,89,70,51,,19,10,11
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",36,29,20,12,1,2,8,3
"Ocupantes presentes (041)",109,93,66,34,1,5,26,4
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",3,2,,1,,,,1
"Ocupantes presentes (047)",4,2,,1,,,,2
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",18,11,3,2,,,2,6
"Ocupantes presentes (050)",45,30,5,3,,,3,13
"Otro tipo",,,,,,,,
"Hogares (052)",2,2,,,,,,
"Ocupantes presentes (053)",5,5,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",9375,8507,362,211,12,8,3,847
"Ocupantes presentes (056)",33928,31837,1563,853,53,26,11,1998
"Casa independiente",,,,,,,,
"Hogares (058)",7033,6428,326,180,8,5,2,587
"Ocupantes presentes (059)",25967,24448,1372,736,34,17,8,1441
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",2331,2069,36,31,4,3,1,259
"Ocupantes presentes (071)",7920,7349,191,117,19,9,3,556
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",10,9,,,,,,1
"Ocupantes presentes (077)",36,35,,,,,,1
"Otro tipo",,,,,,,,
"Hogares (079)",1,1,,,,,,
"Ocupantes presentes (080)",5,5,,,,,,
