"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia URUBAMBA",,,,,,,,,
"Viviendas particulares (001)",13169,7371,1302,525,67,370,2892,273,369
"Ocupantes presentes (002)",53426,30524,4844,2158,265,1429,11816,904,1486
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",12663,7088,1141,512,67,369,2848,270,368
"Ocupantes presentes (005)",51901,29595,4450,2107,265,1428,11677,897,1482
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",89,69,20,,,,,,
"Ocupantes presentes (008)",251,204,47,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",63,48,15,,,,,,
"Ocupantes presentes (011)",236,189,47,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",308,157,123,13,,,14,,1
"Ocupantes presentes (014)",910,507,294,51,,,54,,4
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",14,,,,,1,12,1,
"Ocupantes presentes (017)",43,,,,,1,41,1,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",8,5,1,,,,1,1,
"Ocupantes presentes (020)",23,14,4,,,,1,4,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",8,4,2,,,,1,1,
"Ocupantes presentes (023)",20,15,2,,,,1,2,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",16,,,,,,16,,
"Ocupantes presentes (026)",42,,,,,,42,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",6101,4452,927,279,4,45,161,93,140
"Ocupantes presentes (029)",24553,18443,3269,1139,16,185,675,294,532
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",5615,4169,766,266,4,45,135,91,139
"Ocupantes presentes (032)",23084,17514,2875,1088,16,185,590,288,528
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",89,69,20,,,,,,
"Ocupantes presentes (035)",251,204,47,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",63,48,15,,,,,,
"Ocupantes presentes (038)",236,189,47,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",308,157,123,13,,,14,,1
"Ocupantes presentes (041)",910,507,294,51,,,54,,4
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",8,5,1,,,,1,1,
"Ocupantes presentes (047)",23,14,4,,,,1,4,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,4,2,,,,,1,
"Ocupantes presentes (050)",19,15,2,,,,,2,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",11,,,,,,11,,
"Ocupantes presentes (053)",30,,,,,,30,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",7068,2919,375,246,63,325,2731,180,229
"Ocupantes presentes (056)",28873,12081,1575,1019,249,1244,11141,610,954
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",7048,2919,375,246,63,324,2713,179,229
"Ocupantes presentes (059)",28817,12081,1575,1019,249,1243,11087,609,954
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",14,,,,,1,12,1,
"Ocupantes presentes (071)",43,,,,,1,41,1,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,1,,
"Ocupantes presentes (077)",1,,,,,,1,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",5,,,,,,5,,
"Ocupantes presentes (080)",12,,,,,,12,,
