"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia TRUJILLO",,,,,,,,,
"Viviendas particulares (001)",37729,35252,1390,257,411,113,37,57,212
"Ocupantes presentes (002)",178992,167546,6478,1153,1853,577,156,252,977
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",37057,34732,1322,239,386,104,31,57,186
"Ocupantes presentes (005)",176455,165610,6209,1086,1758,541,133,252,866
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",184,115,25,7,12,6,6,,13
"Ocupantes presentes (008)",660,384,112,28,41,24,23,,48
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",210,176,13,6,8,2,,,5
"Ocupantes presentes (011)",785,654,44,23,28,9,,,27
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",200,166,21,2,4,1,,,6
"Ocupantes presentes (014)",821,681,80,8,22,3,,,27
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",4,1,2,1,,,,,
"Ocupantes presentes (017)",15,3,8,4,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",29,26,2,,1,,,,
"Ocupantes presentes (020)",100,89,7,,4,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",39,31,4,2,,,,,2
"Ocupantes presentes (023)",146,116,17,4,,,,,9
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",6,5,1,,,,,,
"Ocupantes presentes (026)",10,9,1,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",37433,35110,1309,245,391,113,36,57,172
"Ocupantes presentes (029)",177681,166917,6131,1098,1756,577,153,252,797
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",36765,34591,1243,228,366,104,30,57,146
"Ocupantes presentes (032)",175159,164984,5870,1035,1661,541,130,252,686
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",184,115,25,7,12,6,6,,13
"Ocupantes presentes (035)",660,384,112,28,41,24,23,,48
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",210,176,13,6,8,2,,,5
"Ocupantes presentes (038)",785,654,44,23,28,9,,,27
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",200,166,21,2,4,1,,,6
"Ocupantes presentes (041)",821,681,80,8,22,3,,,27
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",29,26,2,,1,,,,
"Ocupantes presentes (047)",100,89,7,,4,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",39,31,4,2,,,,,2
"Ocupantes presentes (050)",146,116,17,4,,,,,9
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",6,5,1,,,,,,
"Ocupantes presentes (053)",10,9,1,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",296,142,81,12,20,,1,,40
"Ocupantes presentes (056)",1311,629,347,55,97,,3,,180
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",292,141,79,11,20,,1,,40
"Ocupantes presentes (059)",1296,626,339,51,97,,3,,180
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",4,1,2,1,,,,,
"Ocupantes presentes (071)",15,3,8,4,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
