"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SECHURA (000)",19445,437,57,8229,6592,1048,1738,567,777
"Empleado (001)",2773,19,3,388,644,257,782,218,462
"Obrero (002)",5058,94,23,2379,1979,201,246,77,59
"Trabajador independiente (003)",8845,248,18,4112,2989,465,594,204,215
"Empleador o patrono (004)",736,19,1,365,231,39,41,18,22
"Trabajador familiar no remunerado (005)",1595,41,9,762,593,63,67,43,17
"Trabajador del hogar (006)",438,16,3,223,156,23,8,7,2
"Hombres (008)",14164,242,27,6126,5206,689,981,387,506
"Empleado (009)",1422,13,2,248,382,116,285,118,258
"Obrero (010)",4325,68,13,1993,1751,168,208,70,54
"Trabajador independiente (011)",6622,119,6,3027,2392,336,411,164,167
"Empleador o patrono (012)",637,13,,322,200,30,35,16,21
"Trabajador familiar no remunerado (013)",1145,28,6,535,471,38,42,19,6
"Trabajador del hogar (014)",13,1,,1,10,1,,,
"Mujeres (016)",5281,195,30,2103,1386,359,757,180,271
"Empleado (017)",1351,6,1,140,262,141,497,100,204
"Obrero (018)",733,26,10,386,228,33,38,7,5
"Trabajador independiente (019)",2223,129,12,1085,597,129,183,40,48
"Empleador o patrono (020)",99,6,1,43,31,9,6,2,1
"Trabajador familiar no remunerado (021)",450,13,3,227,122,25,25,24,11
"Trabajador del hogar (022)",425,15,3,222,146,22,8,7,2
,,,,,,,,,
"URBANA (024)",18044,368,55,7328,6274,1016,1675,560,768
"Empleado (025)",2697,18,3,361,628,251,762,216,458
"Obrero (026)",4789,85,23,2231,1892,193,231,76,58
"Trabajador independiente (027)",8160,206,18,3639,2859,453,573,201,211
"Empleador o patrono (028)",691,14,1,341,219,36,40,18,22
"Trabajador familiar no remunerado (029)",1284,30,7,545,522,60,61,42,17
"Trabajador del hogar (030)",423,15,3,211,154,23,8,7,2
"Hombres (032)",13012,192,25,5371,4936,665,941,382,500
"Empleado (033)",1375,12,2,224,369,113,281,118,256
"Obrero (034)",4076,60,13,1858,1669,160,194,69,53
"Trabajador independiente (035)",6057,90,6,2627,2288,327,394,161,164
"Empleador o patrono (036)",595,8,,300,188,28,34,16,21
"Trabajador familiar no remunerado (037)",896,21,4,361,412,36,38,18,6
"Trabajador del hogar (038)",13,1,,1,10,1,,,
"Mujeres (040)",5032,176,30,1957,1338,351,734,178,268
"Empleado (041)",1322,6,1,137,259,138,481,98,202
"Obrero (042)",713,25,10,373,223,33,37,7,5
"Trabajador independiente (043)",2103,116,12,1012,571,126,179,40,47
"Empleador o patrono (044)",96,6,1,41,31,8,6,2,1
"Trabajador familiar no remunerado (045)",388,9,3,184,110,24,23,24,11
"Trabajador del hogar (046)",410,14,3,210,144,22,8,7,2
,,,,,,,,,
"RURAL (048)",1401,69,2,901,318,32,63,7,9
"Empleado (049)",76,1,,27,16,6,20,2,4
"Obrero (050)",269,9,,148,87,8,15,1,1
"Trabajador independiente (051)",685,42,,473,130,12,21,3,4
"Empleador o patrono (052)",45,5,,24,12,3,1,,
"Trabajador familiar no remunerado (053)",311,11,2,217,71,3,6,1,
"Trabajador del hogar (054)",15,1,,12,2,,,,
"Hombres (056)",1152,50,2,755,270,24,40,5,6
"Empleado (057)",47,1,,24,13,3,4,,2
"Obrero (058)",249,8,,135,82,8,14,1,1
"Trabajador independiente (059)",565,29,,400,104,9,17,3,3
"Empleador o patrono (060)",42,5,,22,12,2,1,,
"Trabajador familiar no remunerado (061)",249,7,2,174,59,2,4,1,
"Mujeres (064)",249,19,,146,48,8,23,2,3
"Empleado (065)",29,,,3,3,3,16,2,2
"Obrero (066)",20,1,,13,5,,1,,
"Trabajador independiente (067)",120,13,,73,26,3,4,,1
"Empleador o patrono (068)",3,,,2,,1,,,
"Trabajador familiar no remunerado (069)",62,4,,43,12,1,2,,
"Trabajador del hogar (070)",15,1,,12,2,,,,
