"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUAYTARA (000)",8037,7827,1980,882,834,768,1204,905,1254,210
"Católica (001)",6738,6553,1664,770,716,664,1007,754,978,185
"Cristiana/Evangélica (002)",1241,1218,294,108,112,98,188,147,271,23
"Otra (003)",19,19,4,3,2,5,2,1,2,
"Ninguna (004)",39,37,18,1,4,1,7,3,3,2
,,,,,,,,,,
"URBANA (006)",2472,2381,642,305,303,272,348,250,261,91
"Católica (007)",2184,2100,576,272,273,240,308,212,219,84
"Cristiana/Evangélica (008)",265,258,62,31,24,31,32,38,40,7
"Otra (009)",7,7,1,1,2,1,2,,,
"Ninguna (010)",16,16,3,1,4,,6,,2,
,,,,,,,,,,
"RURAL (012)",5565,5446,1338,577,531,496,856,655,993,119
"Católica (013)",4554,4453,1088,498,443,424,699,542,759,101
"Cristiana/Evangélica (014)",976,960,232,77,88,67,156,109,231,16
"Otra (015)",12,12,3,2,,4,,1,2,
"Ninguna (016)",23,21,15,,,1,1,3,1,2
