"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MARISCAL NIETO (000)",69509,7100,1695,16053,20292,5528,7307,4502,7032
"Quechua (001)",3093,307,13,823,1168,223,259,117,183
"Aymara (002)",10875,2383,38,3570,3064,536,648,228,408
"Ashaninca (003)",31,7,1,8,10,2,1,1,1
"Otra lengua nativa (004)",154,11,4,44,54,8,19,9,5
"Castellano (005)",55268,4356,1633,11594,15982,4755,6375,4143,6430
"Idioma extranjero (006)",23,,,5,8,1,2,2,5
"Es sordomudo/a (007)",65,36,6,9,6,3,3,2,
"Hombres (009)",35516,2523,831,7896,11147,2901,3828,2600,3790
"Quechua (010)",1600,67,6,346,672,132,173,78,126
"Aymara (011)",5432,539,17,1769,1938,344,400,156,269
"Ashaninca (012)",14,4,,3,6,,1,,
"Otra lengua nativa (013)",79,7,2,21,30,5,9,4,1
"Castellano (014)",28339,1884,802,5751,8495,2416,3241,2359,3391
"Idioma extranjero (015)",11,,,4,1,1,1,1,3
"Es sordomudo/a (016)",41,22,4,2,5,3,3,2,
"Mujeres (018)",33993,4577,864,8157,9145,2627,3479,1902,3242
"Quechua (019)",1493,240,7,477,496,91,86,39,57
"Aymara (020)",5443,1844,21,1801,1126,192,248,72,139
"Ashaninca (021)",17,3,1,5,4,2,,1,1
"Otra lengua nativa (022)",75,4,2,23,24,3,10,5,4
"Castellano (023)",26929,2472,831,5843,7487,2339,3134,1784,3039
"Idioma extranjero (024)",12,,,1,7,,1,1,2
"Es sordomudo/a (025)",24,14,2,7,1,,,,
,,,,,,,,,
"URBANA (027)",59848,5555,1511,13162,17330,4943,6572,4178,6597
"Quechua (028)",2748,269,11,733,1036,204,226,103,166
"Aymara (029)",8155,1681,13,2633,2317,414,547,188,362
"Ashaninca (030)",26,5,1,6,9,2,1,1,1
"Otra lengua nativa (031)",99,7,3,21,37,6,14,6,5
"Castellano (032)",48748,3571,1477,9756,13918,4313,5779,3876,6058
"Idioma extranjero (033)",23,,,5,8,1,2,2,5
"Es sordomudo/a (034)",49,22,6,8,5,3,3,2,
"Hombres (036)",30039,1988,737,6298,9266,2523,3375,2373,3479
"Quechua (037)",1350,52,4,290,569,115,145,65,110
"Aymara (038)",3926,348,6,1228,1401,258,329,123,233
"Ashaninca (039)",10,2,,1,6,,1,,
"Otra lengua nativa (040)",48,4,1,11,17,3,7,4,1
"Castellano (041)",24662,1568,722,4762,7268,2143,2889,2178,3132
"Idioma extranjero (042)",11,,,4,1,1,1,1,3
"Es sordomudo/a (043)",32,14,4,2,4,3,3,2,
"Mujeres (045)",29809,3567,774,6864,8064,2420,3197,1805,3118
"Quechua (046)",1398,217,7,443,467,89,81,38,56
"Aymara (047)",4229,1333,7,1405,916,156,218,65,129
"Ashaninca (048)",16,3,1,5,3,2,,1,1
"Otra lengua nativa (049)",51,3,2,10,20,3,7,2,4
"Castellano (050)",24086,2003,755,4994,6650,2170,2890,1698,2926
"Idioma extranjero (051)",12,,,1,7,,1,1,2
"Es sordomudo/a (052)",17,8,2,6,1,,,,
,,,,,,,,,
"RURAL (054)",9661,1545,184,2891,2962,585,735,324,435
"Quechua (055)",345,38,2,90,132,19,33,14,17
"Aymara (056)",2720,702,25,937,747,122,101,40,46
"Ashaninca (057)",5,2,,2,1,,,,
"Otra lengua nativa (058)",55,4,1,23,17,2,5,3,
"Castellano (059)",6520,785,156,1838,2064,442,596,267,372
"Es sordomudo/a (061)",16,14,,1,1,,,,
"Hombres (063)",5477,535,94,1598,1881,378,453,227,311
"Quechua (064)",250,15,2,56,103,17,28,13,16
"Aymara (065)",1506,191,11,541,537,86,71,33,36
"Ashaninca (066)",4,2,,2,,,,,
"Otra lengua nativa (067)",31,3,1,10,13,2,2,,
"Castellano (068)",3677,316,80,989,1227,273,352,181,259
"Es sordomudo/a (070)",9,8,,,1,,,,
"Mujeres (072)",4184,1010,90,1293,1081,207,282,97,124
"Quechua (073)",95,23,,34,29,2,5,1,1
"Aymara (074)",1214,511,14,396,210,36,30,7,10
"Ashaninca (075)",1,,,,1,,,,
"Otra lengua nativa (076)",24,1,,13,4,,3,3,
"Castellano (077)",2843,469,76,849,837,169,244,86,113
"Es sordomudo/a (079)",7,6,,1,,,,,
