"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia UCAYALI (000)",20353,16150,2427,891,885
"Sin nivel (001)",470,445,21,2,2
"Educación inicial (002)",17,15,2,,
"Primaria (003)",9111,8027,868,150,66
"Secundaria (004)",7719,6298,910,242,269
"Superior no univ. incompleta (005)",648,416,96,66,70
"Superior no univ. completa (006)",1386,560,326,246,254
"Superior univ. incompleta (007)",337,171,54,46,66
"Superior univ. completa (008)",665,218,150,139,158
"De 06 a 14 años (010)",701,639,38,24,
"Sin nivel (011)",8,7,1,,
"Educación inicial (012)",9,9,,,
"Primaria (013)",512,467,29,16,
"Secundaria (014)",172,156,8,8,
"De 15 a 29 años (020)",7262,5757,954,281,270
"Sin nivel (021)",61,54,3,2,2
"Educación inicial (022)",5,3,2,,
"Primaria (023)",2229,1936,237,44,12
"Secundaria (024)",3917,3219,493,113,92
"Superior no univ. incompleta (025)",250,179,34,19,18
"Superior no univ. completa (026)",447,200,117,57,73
"Superior univ. incompleta (027)",158,94,19,19,26
"Superior univ. completa (028)",195,72,49,27,47
"De 30 a 44 años (030)",6813,5122,911,372,408
"Sin nivel (031)",110,106,4,,
"Educación inicial (032)",3,3,,,
"Primaria (033)",2786,2408,310,44,24
"Secundaria (034)",2495,2027,287,75,106
"Superior no univ. incompleta (035)",275,160,47,27,41
"Superior no univ. completa (036)",695,267,164,134,130
"Superior univ. incompleta (037)",125,51,28,18,28
"Superior univ. completa (038)",324,100,71,74,79
"De 45 a 64 años (040)",4528,3673,459,202,194
"Sin nivel (041)",190,180,10,,
"Primaria (043)",2735,2435,241,35,24
"Secundaria (044)",1058,832,117,45,64
"Superior no univ. incompleta (045)",115,72,12,20,11
"Superior no univ. completa (046)",242,91,45,55,51
"Superior univ. incompleta (047)",49,22,6,9,12
"Superior univ. completa (048)",139,41,28,38,32
"De 65 y más años (050)",1049,959,65,12,13
"Sin nivel (051)",101,98,3,,
"Primaria (053)",849,781,51,11,6
"Secundaria (054)",77,64,5,1,7
"Superior no univ. incompleta (055)",8,5,3,,
"Superior no univ. completa (056)",2,2,,,
"Superior univ. incompleta (057)",5,4,1,,
"Superior univ. completa (058)",7,5,2,,
,,,,,
"URBANA (060)",11429,8267,1583,743,836
