"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CANTA (000)",5984,703,2079,2272,263,586,81
"Conviviente (001)",2019,179,891,709,81,126,33
"Separado(a) (002)",244,33,89,103,6,7,6
"Casado(a) (003)",1886,236,409,891,124,216,10
"Viudo(a) (004)",200,9,59,103,12,15,2
"Divorciado(a) (005)",26,5,4,15,2,,
"Soltero(a) (006)",1609,241,627,451,38,222,30
"Hombres (008)",4058,370,1589,1629,216,249,5
"Conviviente (009)",1369,105,680,484,68,32,
"Separado(a) (010)",116,12,49,48,3,3,1
"Casado(a) (011)",1277,138,291,700,112,35,1
"Viudo(a) (012)",88,3,31,44,2,8,
"Divorciado(a) (013)",21,2,3,14,2,,
"Soltero(a) (014)",1187,110,535,339,29,171,3
"Mujeres (016)",1926,333,490,643,47,337,76
"Conviviente (017)",650,74,211,225,13,94,33
"Separado(a) (018)",128,21,40,55,3,4,5
"Casado(a) (019)",609,98,118,191,12,181,9
"Viudo(a) (020)",112,6,28,59,10,7,2
"Divorciado(a) (021)",5,3,1,1,,,
"Soltero(a) (022)",422,131,92,112,9,51,27
,,,,,,,
"URBANA (024)",2871,519,545,1281,119,345,62
"Conviviente (025)",829,128,210,368,35,60,28
"Separado(a) (026)",120,24,25,61,3,3,4
"Casado(a) (027)",1026,185,115,533,52,132,9
"Viudo(a) (028)",119,8,23,67,7,12,2
"Divorciado(a) (029)",19,5,2,10,2,,
"Soltero(a) (030)",758,169,170,242,20,138,19
"Hombres (032)",1837,256,436,901,83,157,4
"Conviviente (033)",525,72,166,244,25,18,
"Separado(a) (034)",56,7,17,29,1,1,1
"Casado(a) (035)",667,102,83,411,42,28,1
"Viudo(a) (036)",48,2,13,28,,5,
"Divorciado(a) (037)",16,2,2,10,2,,
"Soltero(a) (038)",525,71,155,179,13,105,2
"Mujeres (040)",1034,263,109,380,36,188,58
"Conviviente (041)",304,56,44,124,10,42,28
"Separado(a) (042)",64,17,8,32,2,2,3
"Casado(a) (043)",359,83,32,122,10,104,8
"Viudo(a) (044)",71,6,10,39,7,7,2
"Divorciado(a) (045)",3,3,,,,,
"Soltero(a) (046)",233,98,15,63,7,33,17
,,,,,,,
"RURAL (048)",3113,184,1534,991,144,241,19
"Conviviente (049)",1190,51,681,341,46,66,5
"Separado(a) (050)",124,9,64,42,3,4,2
"Casado(a) (051)",860,51,294,358,72,84,1
"Viudo(a) (052)",81,1,36,36,5,3,
"Divorciado(a) (053)",7,,2,5,,,
"Soltero(a) (054)",851,72,457,209,18,84,11
"Hombres (056)",2221,114,1153,728,133,92,1
"Conviviente (057)",844,33,514,240,43,14,
"Separado(a) (058)",60,5,32,19,2,2,
"Casado(a) (059)",610,36,208,289,70,7,
"Viudo(a) (060)",40,1,18,16,2,3,
"Divorciado(a) (061)",5,,1,4,,,
"Soltero(a) (062)",662,39,380,160,16,66,1
"Mujeres (064)",892,70,381,263,11,149,18
"Conviviente (065)",346,18,167,101,3,52,5
"Separado(a) (066)",64,4,32,23,1,2,2
"Casado(a) (067)",250,15,86,69,2,77,1
"Viudo(a) (068)",41,,18,20,3,,
"Divorciado(a) (069)",2,,1,1,,,
"Soltero(a) (070)",189,33,77,49,2,18,10
