"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia OYON (000)",8827,7411,1416
"De 3 a 5 años (001)",1322,120,1202
"De 6 a 11 años (002)",2689,2512,177
"De 12 a 16 años (003)",2238,2226,12
"De 17 a 24 años (004)",2578,2553,25
"Hombres (005)",4490,3790,700
"De 3 a 5 años (006)",660,55,605
"De 6 a 11 años (007)",1351,1266,85
"De 12 a 16 años (008)",1158,1156,2
"De 17 a 24 años (009)",1321,1313,8
"Mujeres (010)",4337,3621,716
"De 3 a 5 años (011)",662,65,597
"De 6 a 11 años (012)",1338,1246,92
"De 12 a 16 años (013)",1080,1070,10
"De 17 a 24 años (014)",1257,1240,17
,,,
"URBANA (015)",5993,5062,931
"De 3 a 5 años (016)",918,97,821
"De 6 a 11 años (017)",1889,1796,93
"De 12 a 16 años (018)",1552,1546,6
"De 17 a 24 años (019)",1634,1623,11
"Hombres (020)",2936,2468,468
"De 3 a 5 años (021)",464,41,423
"De 6 a 11 años (022)",948,906,42
"De 12 a 16 años (023)",771,770,1
"De 17 a 24 años (024)",753,751,2
"Mujeres (025)",3057,2594,463
"De 3 a 5 años (026)",454,56,398
"De 6 a 11 años (027)",941,890,51
"De 12 a 16 años (028)",781,776,5
"De 17 a 24 años (029)",881,872,9
,,,
"RURAL (030)",2834,2349,485
"De 3 a 5 años (031)",404,23,381
"De 6 a 11 años (032)",800,716,84
"De 12 a 16 años (033)",686,680,6
"De 17 a 24 años (034)",944,930,14
"Hombres (035)",1554,1322,232
"De 3 a 5 años (036)",196,14,182
"De 6 a 11 años (037)",403,360,43
"De 12 a 16 años (038)",387,386,1
"De 17 a 24 años (039)",568,562,6
"Mujeres (040)",1280,1027,253
"De 3 a 5 años (041)",208,9,199
"De 6 a 11 años (042)",397,356,41
"De 12 a 16 años (043)",299,294,5
"De 17 a 24 años (044)",376,368,8
