"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia AMBO (000)",52113,25675,2857,579,23034
"Quechua (001)",13141,7415,272,165,5298
"Aymara (002)",30,15,1,2,13
"Asháninka (003)",9,6,1,4,2
"Otra lengua nativa (004)",5,1,,1,4
"Castellano (005)",38840,18208,2579,406,17664
"Idioma Extranjero (006)",2,,,,2
"Es Sordomudo/a (007)",86,30,4,1,51
"Hombres (009)",26087,12321,1414,288,12086
"Quechua (010)",6244,3395,139,60,2656
"Aymara (011)",17,7,1,2,8
"Asháninka (012)",3,2,1,1,
"Otra lengua nativa (013)",2,,,,2
"Castellano (014)",19763,8899,1271,224,9383
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",57,18,2,1,36
"Mujeres (018)",26026,13354,1443,291,10948
"Quechua (019)",6897,4020,133,105,2642
"Aymara (020)",13,8,,,5
"Asháninka (021)",6,4,,3,2
"Otra lengua nativa (022)",3,1,,1,2
"Castellano (023)",19077,9309,1308,182,8281
"Idioma Extranjero (024)",1,,,,1
"Es Sordomudo/a (025)",29,12,2,,15
,,,,,
"URBANA (027)",17464,6117,2068,317,8974
"Quechua (028)",1914,720,157,30,1009
"Aymara (029)",9,5,,1,4
"Asháninka (030)",2,1,1,1,
"Castellano (032)",15512,5381,1908,285,7946
"Idioma Extranjero (033)",2,,,,2
"Es Sordomudo/a (034)",25,10,2,,13
"Hombres (036)",8586,2861,1011,168,4556
"Quechua (037)",871,304,79,15,475
"Aymara (038)",4,3,,1,1
"Asháninka (039)",1,,1,,
"Castellano (041)",7688,2546,929,152,4068
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",21,8,2,,11
"Mujeres (045)",8878,3256,1057,149,4418
"Quechua (046)",1043,416,78,15,534
"Aymara (047)",5,2,,,3
"Asháninka (048)",1,1,,1,
"Castellano (050)",7824,2835,979,133,3878
"Idioma Extranjero (051)",1,,,,1
"Es Sordomudo/a (052)",4,2,,,2
,,,,,
"RURAL (054)",34649,19558,789,262,14060
"Quechua (055)",11227,6695,115,135,4289
"Aymara (056)",21,10,1,1,9
"Asháninka (057)",7,5,,3,2
"Otra lengua nativa (058)",5,1,,1,4
"Castellano (059)",23328,12827,671,121,9718
"Es Sordomudo/a (061)",61,20,2,1,38
"Hombres (063)",17501,9460,403,120,7530
"Quechua (064)",5373,3091,60,45,2181
"Aymara (065)",13,4,1,1,7
"Asháninka (066)",2,2,,1,
"Otra lengua nativa (067)",2,,,,2
"Castellano (068)",12075,6353,342,72,5315
"Es Sordomudo/a (070)",36,10,,1,25
"Mujeres (072)",17148,10098,386,142,6530
"Quechua (073)",5854,3604,55,90,2108
"Aymara (074)",8,6,,,2
"Asháninka (075)",5,3,,2,2
"Otra lengua nativa (076)",3,1,,1,2
"Castellano (077)",11253,6474,329,49,4403
"Es Sordomudo/a (079)",25,10,2,,13
