"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SANTA CRUZ (000)",11753,143,3345,4026,3056,1183
"Empleado (001)",1646,4,264,909,449,20
"Obrero (002)",1387,13,490,422,337,125
"Trabajador independiente (003)",5415,26,1156,1856,1614,763
"Empleador o patrono (004)",233,1,48,79,70,35
"Trabajador familiar no remunerado (005)",2228,68,954,551,452,203
"Trabajador del hogar (006)",213,9,121,46,31,6
"Desocupado (008)",631,22,312,163,103,31
"Hombres (009)",9402,115,2691,3105,2476,1015
"Empleado (010)",932,3,149,482,285,13
"Obrero (011)",1238,12,444,381,300,101
"Trabajador independiente (012)",4845,24,1031,1637,1443,710
"Empleador o patrono (013)",211,1,43,70,65,32
"Trabajador familiar no remunerado (014)",1635,58,777,385,286,129
"Trabajador del hogar (015)",9,,7,1,1,
"Desocupado (017)",532,17,240,149,96,30
"Mujeres (018)",2351,28,654,921,580,168
"Empleado (019)",714,1,115,427,164,7
"Obrero (020)",149,1,46,41,37,24
"Trabajador independiente (021)",570,2,125,219,171,53
"Empleador o patrono (022)",22,,5,9,5,3
"Trabajador familiar no remunerado (023)",593,10,177,166,166,74
"Trabajador del hogar (024)",204,9,114,45,30,6
"Desocupado (026)",99,5,72,14,7,1
,,,,,,
"URBANA (027)",3195,28,748,1383,829,207
"Empleado (028)",1178,4,180,665,318,11
"Obrero (029)",357,1,120,117,87,32
"Trabajador independiente (030)",1162,3,229,464,338,128
"Empleador o patrono (031)",42,,7,15,15,5
"Trabajador familiar no remunerado (032)",219,14,83,55,43,24
"Trabajador del hogar (033)",108,4,67,25,10,2
"Desocupado (035)",129,2,62,42,18,5
"Hombres (036)",2119,15,485,869,586,164
"Empleado (037)",677,3,103,358,207,6
"Obrero (038)",315,,103,107,78,27
"Trabajador independiente (039)",858,1,175,328,250,104
"Empleador o patrono (040)",34,,4,13,13,4
"Trabajador familiar no remunerado (041)",133,9,53,31,22,18
"Trabajador del hogar (042)",6,,5,1,,
"Desocupado (044)",96,2,42,31,16,5
"Mujeres (045)",1076,13,263,514,243,43
"Empleado (046)",501,1,77,307,111,5
"Obrero (047)",42,1,17,10,9,5
"Trabajador independiente (048)",304,2,54,136,88,24
"Empleador o patrono (049)",8,,3,2,2,1
"Trabajador familiar no remunerado (050)",86,5,30,24,21,6
"Trabajador del hogar (051)",102,4,62,24,10,2
"Desocupado (053)",33,,20,11,2,
,,,,,,
"RURAL (054)",8558,115,2597,2643,2227,976
"Empleado (055)",468,,84,244,131,9
"Obrero (056)",1030,12,370,305,250,93
"Trabajador independiente (057)",4253,23,927,1392,1276,635
"Empleador o patrono (058)",191,1,41,64,55,30
"Trabajador familiar no remunerado (059)",2009,54,871,496,409,179
"Trabajador del hogar (060)",105,5,54,21,21,4
"Desocupado (062)",502,20,250,121,85,26
"Hombres (063)",7283,100,2206,2236,1890,851
"Empleado (064)",255,,46,124,78,7
"Obrero (065)",923,12,341,274,222,74
"Trabajador independiente (066)",3987,23,856,1309,1193,606
"Empleador o patrono (067)",177,1,39,57,52,28
"Trabajador familiar no remunerado (068)",1502,49,724,354,264,111
"Trabajador del hogar (069)",3,,2,,1,
"Desocupado (071)",436,15,198,118,80,25
"Mujeres (072)",1275,15,391,407,337,125
"Empleado (073)",213,,38,120,53,2
"Obrero (074)",107,,29,31,28,19
"Trabajador independiente (075)",266,,71,83,83,29
"Empleador o patrono (076)",14,,2,7,3,2
"Trabajador familiar no remunerado (077)",507,5,147,142,145,68
"Trabajador del hogar (078)",102,5,52,21,20,4
"Desocupado (080)",66,5,52,3,5,1
