"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BOLIVAR (000)",15368,3229,498,7881,2644,220,485,92,319
"Quechua (001)",8,,1,2,3,,1,,1
"Aymara (002)",1,1,,,,,,,
"Ashaninca (003)",1,,,1,,,,,
"Otra lengua nativa (004)",89,15,1,50,22,1,,,
"Castellano (005)",15201,3154,496,7823,2616,219,483,92,318
"Es sordomudo/a (007)",68,59,,5,3,,1,,
"Hombres (009)",7959,1370,259,4170,1537,111,261,43,208
"Quechua (010)",4,,,1,1,,1,,1
"Otra lengua nativa (013)",57,10,1,27,18,1,,,
"Castellano (014)",7862,1329,258,4138,1517,110,260,43,207
"Es sordomudo/a (016)",36,31,,4,1,,,,
"Mujeres (018)",7409,1859,239,3711,1107,109,224,49,111
"Quechua (019)",4,,1,1,2,,,,
"Aymara (020)",1,1,,,,,,,
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",32,5,,23,4,,,,
"Castellano (023)",7339,1825,238,3685,1099,109,223,49,111
"Es sordomudo/a (025)",32,28,,1,2,,1,,
,,,,,,,,,
"URBANA (027)",5411,689,212,2346,1371,150,339,61,243
"Quechua (028)",4,,,,2,,1,,1
"Otra lengua nativa (031)",1,,,1,,,,,
"Castellano (032)",5392,676,212,2344,1369,150,338,61,242
"Es sordomudo/a (034)",14,13,,1,,,,,
"Hombres (036)",2728,260,105,1164,773,75,178,26,147
"Quechua (037)",2,,,,,,1,,1
"Castellano (041)",2718,252,105,1164,773,75,177,26,146
"Es sordomudo/a (043)",8,8,,,,,,,
"Mujeres (045)",2683,429,107,1182,598,75,161,35,96
"Quechua (046)",2,,,,2,,,,
"Otra lengua nativa (049)",1,,,1,,,,,
"Castellano (050)",2674,424,107,1180,596,75,161,35,96
"Es sordomudo/a (052)",6,5,,1,,,,,
,,,,,,,,,
"RURAL (054)",9957,2540,286,5535,1273,70,146,31,76
"Quechua (055)",4,,1,2,1,,,,
"Aymara (056)",1,1,,,,,,,
"Ashaninca (057)",1,,,1,,,,,
"Otra lengua nativa (058)",88,15,1,49,22,1,,,
"Castellano (059)",9809,2478,284,5479,1247,69,145,31,76
"Es sordomudo/a (061)",54,46,,4,3,,1,,
"Hombres (063)",5231,1110,154,3006,764,36,83,17,61
"Quechua (064)",2,,,1,1,,,,
"Otra lengua nativa (067)",57,10,1,27,18,1,,,
"Castellano (068)",5144,1077,153,2974,744,35,83,17,61
"Es sordomudo/a (070)",28,23,,4,1,,,,
"Mujeres (072)",4726,1430,132,2529,509,34,63,14,15
"Quechua (073)",2,,1,1,,,,,
"Aymara (074)",1,1,,,,,,,
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",31,5,,22,4,,,,
"Castellano (077)",4665,1401,131,2505,503,34,62,14,15
"Es sordomudo/a (079)",26,23,,,2,,1,,
