"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CORONGO (000)",3695,531,1106,1052,1006
"Asiste actualmente (001)",2599,289,1067,937,306
"No asiste (002)",1096,242,39,115,700
"Hombres (004)",1934,276,561,551,546
"Asiste actualmente (005)",1372,141,541,499,191
"No asiste (006)",562,135,20,52,355
"Mujeres (008)",1761,255,545,501,460
"Asiste actualmente (009)",1227,148,526,438,115
"No asiste (010)",534,107,19,63,345
,,,,,
"URBANA (012)",1632,221,487,473,451
"Asiste actualmente (013)",1193,133,470,441,149
"No asiste (014)",439,88,17,32,302
"Hombres (016)",867,118,255,252,242
"Asiste actualmente (017)",643,67,248,236,92
"No asiste (018)",224,51,7,16,150
"Mujeres (020)",765,103,232,221,209
"Asiste actualmente (021)",550,66,222,205,57
"No asiste (022)",215,37,10,16,152
,,,,,
"RURAL (024)",2063,310,619,579,555
"Asiste actualmente (025)",1406,156,597,496,157
"No asiste (026)",657,154,22,83,398
"Hombres (028)",1067,158,306,299,304
"Asiste actualmente (029)",729,74,293,263,99
"No asiste (030)",338,84,13,36,205
"Mujeres (032)",996,152,313,280,251
"Asiste actualmente (033)",677,82,304,233,58
"No asiste (034)",319,70,9,47,193
