"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MOYOBAMBA (000)",944,944,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",125,125,
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",49,49,
"Cárcel, centro de readaptación social (005)",417,417,
"Otro (008)",127,127,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",224,224,
