"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia DOS DE MAYO (000)",10450,2884,7566
"Red pública dentro de la vivienda (001)",3238,2219,1019
"Red pública fuera de la vivienda (002)",383,163,220
"Pilón de uso público (003)",561,77,484
"Camión - cisterna u otro similar (004)",2,,2
"Pozo (005)",656,26,630
"Río, acequia, manatial o similar (006)",5204,288,4916
"Vecino (007)",360,107,253
"Otro (008)",46,4,42
,,,
"URBANA (010)",3791,2646,1145
"Red pública dentro de la vivienda (011)",2556,2119,437
"Red pública fuera de la vivienda (012)",247,159,88
"Pilón de uso público (013)",114,41,73
"Pozo (015)",69,23,46
"Río, acequia, manatial o similar (016)",503,198,305
"Vecino (017)",292,103,189
"Otro (018)",10,3,7
,,,
"RURAL (020)",6659,238,6421
"Red pública dentro de la vivienda (021)",682,100,582
"Red pública fuera de la vivienda (022)",136,4,132
"Pilón de uso público (023)",447,36,411
"Camión - cisterna u otro similar (024)",2,,2
"Pozo (025)",587,3,584
"Río, acequia, manatial o similar (026)",4701,90,4611
"Vecino (027)",68,4,64
"Otro (028)",36,1,35
