"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUACAYBAMBA (000)",17076,7325,742,139,8881
"Hombres (001)",8512,3508,389,86,4538
"Mujeres (002)",8564,3817,353,53,4343
"PEA (003)",4660,580,381,68,3633
"Hombres (004)",3857,445,242,58,3114
"Mujeres (005)",803,135,139,10,519
"Ocupada (006)",4423,528,379,68,3450
"Hombres (007)",3670,413,240,58,2961
"Mujeres (008)",753,115,139,10,489
"Desocupada (009)",237,52,2,,183
"Hombres (010)",187,32,2,,153
"Mujeres (011)",50,20,,,30
"No PEA (012)",12416,6745,361,71,5248
"Hombres (013)",4655,3063,147,28,1424
"Mujeres (014)",7761,3682,214,43,3824
,,,,,
"URBANA (018)",3220,1133,487,65,1536
"Hombres (019)",1633,536,256,53,789
"Mujeres (020)",1587,597,231,12,747
"PEA (021)",1122,167,255,51,650
"Hombres (022)",812,108,158,47,500
"Mujeres (023)",310,59,97,4,150
"Ocupada (024)",1069,157,253,51,609
"Hombres (025)",766,99,156,47,465
"Mujeres (026)",303,58,97,4,144
"Desocupada (027)",53,10,2,,41
"Hombres (028)",46,9,2,,35
"Mujeres (029)",7,1,,,6
"No PEA (030)",2098,966,232,14,886
"Hombres (031)",821,428,98,6,289
"Mujeres (032)",1277,538,134,8,597
,,,,,
"RURAL (036)",13856,6192,255,74,7345
"Hombres (037)",6879,2972,133,33,3749
"Mujeres (038)",6977,3220,122,41,3596
"PEA (039)",3538,413,126,17,2983
"Hombres (040)",3045,337,84,11,2614
"Mujeres (041)",493,76,42,6,369
"Ocupada (042)",3354,371,126,17,2841
"Hombres (043)",2904,314,84,11,2496
"Mujeres (044)",450,57,42,6,345
"Desocupada (045)",184,42,,,142
"Hombres (046)",141,23,,,118
"Mujeres (047)",43,19,,,24
"No PEA (048)",10318,5779,129,57,4362
"Hombres (049)",3834,2635,49,22,1135
"Mujeres (050)",6484,3144,80,35,3227
