"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MOHO (000)",10830,10559,3047,1062,1139,1092,1828,1379,679,333,271,33026
"De 12 a 14 años (001)",1001,996,990,4,2,,,,,,5,8
"De 15 a 19 años (002)",1233,1207,1090,102,11,4,,,,,26,136
"De 20 a 24 años (003)",810,753,351,221,130,36,14,1,,,57,656
"De 25 a 29 años (004)",761,694,99,192,197,126,72,7,1,,67,1316
"De 30 a 34 años (005)",785,750,92,111,176,168,163,36,3,1,35,1941
"De 35 a 39 años (006)",776,757,54,86,139,157,207,92,19,3,19,2525
"De 40 a 44 años (007)",736,720,39,43,102,124,227,120,56,9,16,2975
"De 45 a 49 años (008)",638,623,36,34,75,81,169,144,63,21,15,2871
"De 50 y más años (009)",4090,4059,296,269,307,396,976,979,537,299,31,20598
"PEA (010)",5093,4939,942,593,644,577,978,712,327,166,154,17109
"De 12 a 14 años (011)",93,93,91,1,1,,,,,,,3
"De 15 a 19 años (012)",356,345,285,53,4,3,,,,,11,70
"De 20 a 24 años (013)",457,426,214,117,71,18,5,1,,,31,341
"De 25 a 29 años (014)",414,379,63,107,104,61,39,4,1,,35,693
"De 30 a 34 años (015)",472,448,61,79,105,87,95,20,,1,24,1100
"De 35 a 39 años (016)",471,456,41,55,90,92,114,51,13,,15,1445
"De 40 a 44 años (017)",430,418,19,26,66,75,136,65,28,3,12,1672
"De 45 a 49 años (018)",383,371,25,22,45,47,102,83,35,12,12,1669
"De 50 y más años (019)",2017,2003,143,133,158,194,487,488,250,150,14,10116
"Ocupada (020)",4991,4842,889,582,634,574,972,704,323,164,149,16939
"De 12 a 14 años (021)",90,90,88,1,1,,,,,,,3
"De 15 a 19 años (022)",337,326,267,52,4,3,,,,,11,69
