"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PISCO (000)",45715,570,15844,16747,10923,1631
"Agric., ganadería, caza y silvicultura (001)",10362,149,3716,3290,2581,626
"Pesca (002)",1828,4,553,759,462,50
"Explotación de minas y canteras (003)",303,2,95,145,56,5
"Industrias manufactureras (004)",5305,33,2109,1957,1091,115
"Suministro de electricidad, gas y agua (005)",136,,40,41,51,4
"Construcción (006)",3729,39,1450,1398,754,88
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",7459,206,2333,2671,1880,369
"Venta, mant.y rep. veh.autom.y motoc. (008)",1122,7,491,361,229,34
"Comercio al por mayor (009)",481,12,185,177,97,10
"Comercio al por menor (010)",5856,187,1657,2133,1554,325
"Hoteles y restaurantes (011)",1847,44,645,641,460,57
"Trans., almac. y comunicaciones (012)",4439,38,1658,1598,1037,108
"Intermediación financiera (013)",183,,98,56,27,2
"Activid.inmobil., empres. y alquileres (014)",2289,1,794,915,520,59
"Admin.pub. y defensa; p. segur.soc.afil (015)",1872,,567,819,458,28
"Enseñanza (016)",2183,1,514,1100,549,19
"Servicios sociales y de salud (017)",773,,163,335,260,15
"Otras activ. serv.comun.soc y personales (018)",1232,30,403,439,326,34
"Hogares privados con servicio doméstico (019)",661,14,291,201,144,11
"Organiz. y organos extraterritoriales (020)",5,,3,2,,
"Actividad economica no especificada (021)",1109,9,412,380,267,41
"Hombres (022)",32132,394,11248,11429,7789,1272
"Agric., ganadería, caza y silvicultura (023)",7874,111,2814,2445,1967,537
"Pesca (024)",1748,4,526,726,444,48
"Explotación de minas y canteras (025)",295,2,90,143,55,5
"Industrias manufactureras (026)",3940,25,1526,1435,860,94
"Suministro de electricidad, gas y agua (027)",127,,39,38,46,4
"Construcción (028)",3621,31,1406,1358,739,87
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3905,135,1307,1258,985,220
"Venta, mant.y rep. veh.autom.y motoc. (030)",1039,7,453,327,218,34
"Comercio al por mayor (031)",316,6,115,125,62,8
"Comercio al por menor (032)",2550,122,739,806,705,178
"Hoteles y restaurantes (033)",513,20,178,173,124,18
"Trans., almac. y comunicaciones (034)",4166,31,1508,1517,1002,108
"Intermediación financiera (035)",102,,42,37,22,1
"Activid.inmobil., empres. y alquileres (036)",1860,1,631,727,444,57
"Admin.pub. y defensa; p. segur.soc.afil (037)",1472,,438,651,358,25
