"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia AYMARAES (000)",21657,3453,2934,3783,3318,2539,5630
"Conviviente (001)",4332,64,838,1745,922,367,396
"Separado(a) (002)",465,4,67,86,109,87,112
"Casado(a) (003)",8775,9,175,1230,1965,1822,3574
"Viudo(a) (004)",1664,1,5,18,79,156,1405
"Divorciado(a) (005)",70,,4,7,18,16,25
"Soltero(a) (006)",6351,3375,1845,697,225,91,118
"Hombres (008)",11071,1800,1571,2038,1771,1302,2589
"Conviviente (009)",2302,24,305,985,571,213,204
"Separado(a) (010)",148,1,8,16,24,39,60
"Casado(a) (011)",4458,3,52,551,992,942,1918
"Viudo(a) (012)",393,,,4,21,37,331
"Divorciado(a) (013)",40,,2,3,9,7,19
"Soltero(a) (014)",3730,1772,1204,479,154,64,57
"Mujeres (016)",10586,1653,1363,1745,1547,1237,3041
"Conviviente (017)",2030,40,533,760,351,154,192
"Separado(a) (018)",317,3,59,70,85,48,52
"Casado(a) (019)",4317,6,123,679,973,880,1656
"Viudo(a) (020)",1271,1,5,14,58,119,1074
"Divorciado(a) (021)",30,,2,4,9,9,6
"Soltero(a) (022)",2621,1603,641,218,71,27,61
,,,,,,,
"URBANA (024)",9344,1593,1253,1639,1488,1081,2290
"Conviviente (025)",1917,28,341,784,443,170,151
"Separado(a) (026)",218,1,27,41,53,48,48
"Casado(a) (027)",3585,5,65,464,832,763,1456
"Viudo(a) (028)",668,,1,9,31,57,570
"Divorciado(a) (029)",25,,1,3,5,7,9
"Soltero(a) (030)",2931,1559,818,338,124,36,56
"Hombres (032)",4590,841,630,799,747,549,1024
"Conviviente (033)",952,10,106,398,256,101,81
"Separado(a) (034)",63,,3,6,8,20,26
"Casado(a) (035)",1765,2,15,189,395,391,773
"Viudo(a) (036)",137,,,2,8,11,116
"Divorciado(a) (037)",14,,1,1,2,3,7
"Soltero(a) (038)",1659,829,505,203,78,23,21
"Mujeres (040)",4754,752,623,840,741,532,1266
"Conviviente (041)",965,18,235,386,187,69,70
"Separado(a) (042)",155,1,24,35,45,28,22
"Casado(a) (043)",1820,3,50,275,437,372,683
"Viudo(a) (044)",531,,1,7,23,46,454
"Divorciado(a) (045)",11,,,2,3,4,2
"Soltero(a) (046)",1272,730,313,135,46,13,35
,,,,,,,
"RURAL (048)",12313,1860,1681,2144,1830,1458,3340
"Conviviente (049)",2415,36,497,961,479,197,245
"Separado(a) (050)",247,3,40,45,56,39,64
"Casado(a) (051)",5190,4,110,766,1133,1059,2118
"Viudo(a) (052)",996,1,4,9,48,99,835
"Divorciado(a) (053)",45,,3,4,13,9,16
"Soltero(a) (054)",3420,1816,1027,359,101,55,62
"Hombres (056)",6481,959,941,1239,1024,753,1565
"Conviviente (057)",1350,14,199,587,315,112,123
"Separado(a) (058)",85,1,5,10,16,19,34
"Casado(a) (059)",2693,1,37,362,597,551,1145
"Viudo(a) (060)",256,,,2,13,26,215
"Divorciado(a) (061)",26,,1,2,7,4,12
"Soltero(a) (062)",2071,943,699,276,76,41,36
"Mujeres (064)",5832,901,740,905,806,705,1775
"Conviviente (065)",1065,22,298,374,164,85,122
"Separado(a) (066)",162,2,35,35,40,20,30
"Casado(a) (067)",2497,3,73,404,536,508,973
"Viudo(a) (068)",740,1,4,7,35,73,620
"Divorciado(a) (069)",19,,2,2,6,5,4
"Soltero(a) (070)",1349,873,328,83,25,14,26
