"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia UCAYALI (000)",18885,18307,5499,1943,1969,1704,2754,1951,2487,578
"Católica (001)",13155,12728,4030,1324,1398,1136,1862,1314,1664,427
"Cristiana/Evangélica (002)",4044,3935,1029,416,378,385,628,467,632,109
"Otra (003)",1006,975,268,114,113,99,154,104,123,31
"Ninguna (004)",680,669,172,89,80,84,110,66,68,11
,,,,,,,,,,
"URBANA (006)",11037,10681,3494,1129,1172,983,1592,1086,1225,356
"Católica (007)",8284,7998,2722,831,907,725,1161,794,858,286
"Cristiana/Evangélica (008)",1851,1802,511,188,169,169,291,206,268,49
"Otra (009)",582,568,163,57,60,58,96,58,76,14
"Ninguna (010)",320,313,98,53,36,31,44,28,23,7
,,,,,,,,,,
"RURAL (012)",7848,7626,2005,814,797,721,1162,865,1262,222
"Católica (013)",4871,4730,1308,493,491,411,701,520,806,141
"Cristiana/Evangélica (014)",2193,2133,518,228,209,216,337,261,364,60
"Otra (015)",424,407,105,57,53,41,58,46,47,17
"Ninguna (016)",360,356,74,36,44,53,66,38,45,4
