"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUARI (000)",15553,131,5847,4992,1627,566,239,117,15,,2019
"Conviviente (001)",4006,30,1609,1295,406,114,42,9,1,,500
"Separado(a) (002)",764,7,287,251,96,36,8,7,2,,70
"Casado(a) (003)",7522,54,3013,2566,805,265,127,63,6,,623
"Viudo(a) (004)",2142,37,750,686,225,95,48,30,3,,268
"Divorciado(a) (005)",71,,23,23,11,6,1,1,,,6
"Soltero(a) (006)",1048,3,165,171,84,50,13,7,3,,552
,,,,,,,,,,,
"URBANA (008)",5836,34,2026,1831,709,269,112,50,6,,799
"Conviviente (009)",1588,6,584,507,197,57,19,4,1,,213
"Separado(a) (010)",273,2,96,95,33,18,1,5,1,,22
"Casado(a) (011)",2779,12,1032,942,354,123,62,24,2,,228
"Viudo(a) (012)",679,12,236,196,76,39,22,11,,,87
"Divorciado(a) (013)",28,,9,8,5,3,1,,,,2
"Soltero(a) (014)",489,2,69,83,44,29,7,6,2,,247
,,,,,,,,,,,
"RURAL (016)",9717,97,3821,3161,918,297,127,67,9,,1220
"Conviviente (017)",2418,24,1025,788,209,57,23,5,,,287
"Separado(a) (018)",491,5,191,156,63,18,7,2,1,,48
"Casado(a) (019)",4743,42,1981,1624,451,142,65,39,4,,395
"Viudo(a) (020)",1463,25,514,490,149,56,26,19,3,,181
"Divorciado(a) (021)",43,,14,15,6,3,,1,,,4
"Soltero(a) (022)",559,1,96,88,40,21,6,1,1,,305
