"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia ILO",,,,,,,
"Hogares (001)",17687,1425,235,150,356,398,15368
"Ocupantes presentes (002)",61077,5257,884,633,1444,1587,52288
"Casa independiente",,,,,,,
"Hogares (004)",15813,1283,217,133,324,371,13711
"Ocupantes presentes (005)",55449,4786,832,571,1318,1488,47392
"Departamento en edificio",,,,,,,
"Hogares (007)",1375,115,12,13,22,21,1208
"Ocupantes presentes (008)",4223,384,33,45,93,80,3651
"Vivienda en quinta",,,,,,,
"Hogares (010)",47,8,1,1,1,,37
"Ocupantes presentes (011)",142,18,3,8,8,,113
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",48,3,,,,,45
"Ocupantes presentes (014)",121,12,,,,,109
"Choza o cabaña",,,,,,,
"Hogares (016)",11,,1,,,,10
"Ocupantes presentes (017)",28,,5,,,,23
"Vivienda improvisada",,,,,,,
"Hogares (019)",363,16,4,3,8,6,328
"Ocupantes presentes (020)",1055,57,11,9,23,19,943
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",25,,,,1,,24
"Ocupantes presentes (023)",51,,,,2,,49
"Otro tipo",,,,,,,
"Hogares (025)",5,,,,,,5
"Ocupantes presentes (026)",8,,,,,,8
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",17588,1425,234,150,356,398,15270
"Ocupantes presentes (029)",60848,5257,879,633,1444,1587,52064
"Casa independiente",,,,,,,
"Hogares (031)",15726,1283,217,133,324,371,13624
"Ocupantes presentes (032)",55249,4786,832,571,1318,1488,47192
"Departamento en edificio",,,,,,,
"Hogares (034)",1375,115,12,13,22,21,1208
"Ocupantes presentes (035)",4223,384,33,45,93,80,3651
"Vivienda en quinta",,,,,,,
"Hogares (037)",47,8,1,1,1,,37
"Ocupantes presentes (038)",142,18,3,8,8,,113
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",48,3,,,,,45
"Ocupantes presentes (041)",121,12,,,,,109
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",363,16,4,3,8,6,328
"Ocupantes presentes (047)",1055,57,11,9,23,19,943
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",24,,,,1,,23
"Ocupantes presentes (050)",50,,,,2,,48
"Otro tipo",,,,,,,
"Hogares (052)",5,,,,,,5
"Ocupantes presentes (053)",8,,,,,,8
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",99,,1,,,,98
"Ocupantes presentes (056)",229,,5,,,,224
"Casa independiente",,,,,,,
"Hogares (058)",87,,,,,,87
"Ocupantes presentes (059)",200,,,,,,200
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",11,,1,,,,10
"Ocupantes presentes (071)",28,,5,,,,23
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",1,,,,,,1
"Ocupantes presentes (077)",1,,,,,,1
"Otro tipo",,,,,,,
