"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANTIAGO DE CHUCO (000)",40,33,7
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",12,11,1
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",4,4,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",15,10,5
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",7,6,1
