"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHOTA (000)",150794,6897,38410,28417,22344,19084,13438,9675,12529
"Quechua (001)",404,17,87,71,53,54,40,41,41
"Aymara (002)",22,,8,1,3,5,2,1,2
"Ashaninca (003)",16,1,7,3,1,1,1,,2
"Otra lengua nativa (004)",48,,12,15,7,9,1,1,3
"Castellano (005)",149816,6866,38237,28250,22185,18922,13323,9590,12443
"Idioma extranjero (006)",4,,,1,1,1,,1,
"Es sordomudo/a (007)",484,13,59,76,94,92,71,41,38
"Hombres (009)",73069,3452,19424,13800,10574,8939,6295,4537,6048
"Quechua (010)",213,8,47,31,32,29,22,23,21
"Aymara (011)",9,,3,1,,2,1,1,1
"Ashaninca (012)",5,,4,,,,,,1
"Otra lengua nativa (013)",33,,9,14,4,4,1,1,
"Castellano (014)",72564,3438,19324,13713,10495,8863,6233,4490,6008
"Idioma extranjero (015)",4,,,1,1,1,,1,
"Es sordomudo/a (016)",241,6,37,40,42,40,38,21,17
"Mujeres (018)",77725,3445,18986,14617,11770,10145,7143,5138,6481
"Quechua (019)",191,9,40,40,21,25,18,18,20
"Aymara (020)",13,,5,,3,3,1,,1
"Ashaninca (021)",11,1,3,3,1,1,1,,1
"Otra lengua nativa (022)",15,,3,1,3,5,,,3
"Castellano (023)",77252,3428,18913,14537,11690,10059,7090,5100,6435
"Es sordomudo/a (025)",243,7,22,36,52,52,33,20,21
,,,,,,,,,
"URBANA (027)",30626,1098,6706,5772,4976,4531,3191,1994,2358
"Quechua (028)",30,,4,9,3,3,5,4,2
"Aymara (029)",9,,1,1,2,3,1,,1
"Ashaninca (030)",6,1,2,,1,1,,,1
"Otra lengua nativa (031)",15,,4,1,4,4,1,,1
"Castellano (032)",30524,1096,6688,5752,4961,4516,3179,1984,2348
"Idioma extranjero (033)",2,,,1,1,,,,
"Es sordomudo/a (034)",40,1,7,8,4,4,5,6,5
"Hombres (036)",14944,548,3443,2733,2295,2157,1588,1011,1169
"Quechua (037)",18,,2,4,2,1,4,3,2
"Aymara (038)",5,,,1,,2,1,,1
"Ashaninca (039)",2,,1,,,,,,1
"Otra lengua nativa (040)",7,,2,,3,1,1,,
"Castellano (041)",14889,548,3432,2723,2288,2151,1579,1005,1163
"Idioma extranjero (042)",2,,,1,1,,,,
"Es sordomudo/a (043)",21,,6,4,1,2,3,3,2
"Mujeres (045)",15682,550,3263,3039,2681,2374,1603,983,1189
"Quechua (046)",12,,2,5,1,2,1,1,
"Aymara (047)",4,,1,,2,1,,,
"Ashaninca (048)",4,1,1,,1,1,,,
"Otra lengua nativa (049)",8,,2,1,1,3,,,1
"Castellano (050)",15635,548,3256,3029,2673,2365,1600,979,1185
"Es sordomudo/a (052)",19,1,1,4,3,2,2,3,3
,,,,,,,,,
"RURAL (054)",120168,5799,31704,22645,17368,14553,10247,7681,10171
"Quechua (055)",374,17,83,62,50,51,35,37,39
"Aymara (056)",13,,7,,1,2,1,1,1
"Ashaninca (057)",10,,5,3,,,1,,1
"Otra lengua nativa (058)",33,,8,14,3,5,,1,2
"Castellano (059)",119292,5770,31549,22498,17224,14406,10144,7606,10095
"Idioma extranjero (060)",2,,,,,1,,1,
"Es sordomudo/a (061)",444,12,52,68,90,88,66,35,33
"Hombres (063)",58125,2904,15981,11067,8279,6782,4707,3526,4879
"Quechua (064)",195,8,45,27,30,28,18,20,19
"Aymara (065)",4,,3,,,,,1,
"Ashaninca (066)",3,,3,,,,,,
"Otra lengua nativa (067)",26,,7,14,1,3,,1,
"Castellano (068)",57675,2890,15892,10990,8207,6712,4654,3485,4845
"Idioma extranjero (069)",2,,,,,1,,1,
"Es sordomudo/a (070)",220,6,31,36,41,38,35,18,15
"Mujeres (072)",62043,2895,15723,11578,9089,7771,5540,4155,5292
"Quechua (073)",179,9,38,35,20,23,17,17,20
"Aymara (074)",9,,4,,1,2,1,,1
"Ashaninca (075)",7,,2,3,,,1,,1
"Otra lengua nativa (076)",7,,1,,2,2,,,2
"Castellano (077)",61617,2880,15657,11508,9017,7694,5490,4121,5250
"Es sordomudo/a (079)",224,6,21,32,49,50,31,17,18
