"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANCHIS (000)",33550,27141,2250,2112,2047
"Empleado (001)",5806,1709,901,1610,1586
"Obrero (002)",3115,1760,462,454,439
"Trabajador independiente (003)",18259,17618,641,,
"Empleador o patrono (004)",524,439,58,19,8
"Trabajador familiar no remunerado (005)",5498,5267,188,29,14
"Trabajador del hogar (006)",348,348,,,
"De 06 a 14 años (008)",821,777,39,4,1
"Empleado (009)",43,38,4,1,
"Obrero (010)",35,28,7,,
"Trabajador independiente (011)",147,142,5,,
"Empleador o patrono (012)",4,3,1,,
"Trabajador familiar no remunerado (013)",557,531,22,3,1
"Trabajador del hogar (014)",35,35,,,
"De 15 a 29 años (016)",8929,7235,723,440,531
"Empleado (017)",1665,765,255,257,388
"Obrero (018)",1060,579,180,164,137
"Trabajador independiente (019)",4015,3831,184,,
"Empleador o patrono (020)",136,104,21,8,3
"Trabajador familiar no remunerado (021)",1850,1753,83,11,3
"Trabajador del hogar (022)",203,203,,,
"De 30 a 44 años (024)",11918,8987,901,1091,939
"Empleado (025)",2660,603,429,887,741
"Obrero (026)",1208,652,180,187,189
"Trabajador independiente (027)",6376,6149,227,,
"Empleador o patrono (028)",179,149,19,7,4
"Trabajador familiar no remunerado (029)",1431,1370,46,10,5
"Trabajador del hogar (030)",64,64,,,
"De 45 a 64 años (032)",9128,7517,515,549,547
"Empleado (033)",1374,281,205,450,438
"Obrero (034)",686,402,86,93,105
"Trabajador independiente (035)",5679,5500,179,,
"Empleador o patrono (036)",159,140,14,4,1
"Trabajador familiar no remunerado (037)",1199,1163,31,2,3
"Trabajador del hogar (038)",31,31,,,
"De 65 y más años (040)",2754,2625,72,28,29
"Empleado (041)",64,22,8,15,19
"Obrero (042)",126,99,9,10,8
"Trabajador independiente (043)",2042,1996,46,,
"Empleador o patrono (044)",46,43,3,,
"Trabajador familiar no remunerado (045)",461,450,6,3,2
"Trabajador del hogar (046)",15,15,,,
,,,,,
"URBANA (048)",20376,15172,1648,1797,1759
"Empleado (049)",5284,1486,822,1502,1474
"Obrero (050)",1837,1052,257,259,269
"Trabajador independiente (051)",10608,10179,429,,
"Empleador o patrono (052)",369,299,46,17,7
"Trabajador familiar no remunerado (053)",1985,1863,94,19,9
