"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAURA (000)",77761,50520,8949,8120,10172
"Sin nivel (001)",2251,1692,298,162,99
"Educación inicial (002)",54,32,13,5,4
"Primaria (003)",14458,11200,1445,966,847
"Secundaria (004)",32131,23047,3793,2715,2576
"Superior no univ. incompleta (005)",3550,2294,460,393,403
"Superior no univ. completa (006)",4539,2528,526,566,919
"Superior univ. incompleta (007)",6935,4322,926,718,969
"Superior univ. completa (008)",13843,5405,1488,2595,4355
"De 06 a 14 años (010)",680,544,92,29,15
"Sin nivel (011)",15,12,2,1,
"Educación inicial (012)",7,6,1,,
"Primaria (013)",350,288,43,11,8
"Secundaria (014)",308,238,46,17,7
"De 15 a 29 años (020)",24922,15500,3679,2944,2799
"Sin nivel (021)",185,124,30,20,11
"Educación inicial (022)",28,17,5,4,2
"Primaria (023)",2336,1493,346,258,239
"Secundaria (024)",12992,8846,1894,1276,976
"Superior no univ. incompleta (025)",1618,1007,238,200,173
"Superior no univ. completa (026)",1468,791,226,214,237
"Superior univ. incompleta (027)",3347,2070,541,377,359
"Superior univ. completa (028)",2948,1152,399,595,802
"De 30 a 44 años (030)",28201,17344,3193,3321,4343
"Sin nivel (031)",702,479,115,65,43
"Educación inicial (032)",19,9,7,1,2
"Primaria (033)",3929,2870,442,341,276
"Secundaria (034)",11435,8200,1270,979,986
"Superior no univ. incompleta (035)",1285,816,159,153,157
"Superior no univ. completa (036)",2072,1135,220,268,449
"Superior univ. incompleta (037)",2294,1409,264,245,376
"Superior univ. completa (038)",6465,2426,716,1269,2054
"De 45 a 64 años (040)",20021,13700,1753,1692,2876
"Sin nivel (041)",948,718,122,67,41
"Primaria (043)",5703,4599,509,302,293
"Secundaria (044)",6610,5084,534,412,580
"Superior no univ. incompleta (045)",568,401,58,39,70
"Superior no univ. completa (046)",916,539,73,81,223
"Superior univ. incompleta (047)",1187,755,114,92,226
"Superior univ. completa (048)",4089,1604,343,699,1443
"De 65 y más años (050)",3937,3432,232,134,139
"Sin nivel (051)",401,359,29,9,4
"Primaria (053)",2140,1950,105,54,31
"Secundaria (054)",786,679,49,31,27
"Superior no univ. incompleta (055)",79,70,5,1,3
"Superior no univ. completa (056)",83,63,7,3,10
