"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia MARISCAL CACERES (000)",23798,3507,6684,6434,7173
"Asiste actualmente (001)",14546,1712,6243,5019,1572
"No asiste (002)",9252,1795,441,1415,5601
"Hombres (004)",12414,1791,3425,3360,3838
"Asiste actualmente (005)",7490,857,3170,2595,868
"No asiste (006)",4924,934,255,765,2970
"Mujeres (008)",11384,1716,3259,3074,3335
"Asiste actualmente (009)",7056,855,3073,2424,704
"No asiste (010)",4328,861,186,650,2631
,,,,,
"URBANA (012)",14414,1957,3785,4161,4511
"Asiste actualmente (013)",9488,1071,3605,3509,1303
"No asiste (014)",4926,886,180,652,3208
"Hombres (016)",7393,987,1935,2109,2362
"Asiste actualmente (017)",4836,535,1840,1764,697
"No asiste (018)",2557,452,95,345,1665
"Mujeres (020)",7021,970,1850,2052,2149
"Asiste actualmente (021)",4652,536,1765,1745,606
"No asiste (022)",2369,434,85,307,1543
,,,,,
"RURAL (024)",9384,1550,2899,2273,2662
"Asiste actualmente (025)",5058,641,2638,1510,269
"No asiste (026)",4326,909,261,763,2393
"Hombres (028)",5021,804,1490,1251,1476
"Asiste actualmente (029)",2654,322,1330,831,171
"No asiste (030)",2367,482,160,420,1305
"Mujeres (032)",4363,746,1409,1022,1186
"Asiste actualmente (033)",2404,319,1308,679,98
"No asiste (034)",1959,427,101,343,1088
