"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAJABAMBA (000)",241,205,36
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",34,29,5
"Casa pensión (003)",15,7,8
"Hospital, clinica (004)",32,29,3
"Cárcel, centro de readaptación social (005)",20,20,
"Asilo (006)",9,9,
"Otro (008)",40,23,17
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",91,88,3
