"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia OXAPAMPA (000)",79447,1843,28448,21119,14875,9771,3391
"Casa independiente (001)",58301,1245,19770,15544,11279,7655,2808
"Departamento en edificio (002)",178,,45,44,56,27,6
"Vivienda en quinta (003)",1242,23,415,384,274,119,27
"Vivienda en casa de vecindad (004)",1142,22,370,374,244,104,28
"Choza o cabaña (005)",17996,541,7655,4606,2890,1797,507
"Vivienda improvisada (006)",350,8,130,98,70,35,9
"Local no destinado para hab.humana (007)",162,3,40,50,43,23,3
"Otro tipo (008)",76,1,23,19,19,11,3
,,,,,,,
"URBANA (009)",28409,537,9103,7644,6008,3891,1226
"Casa independiente (010)",25363,481,8099,6715,5330,3588,1150
"Departamento en edificio (011)",178,,45,44,56,27,6
"Vivienda en quinta (012)",1242,23,415,384,274,119,27
"Vivienda en casa de vecindad (013)",1142,22,370,374,244,104,28
"Vivienda improvisada (015)",350,8,130,98,70,35,9
"Local no destinado para hab.humana (016)",80,3,27,17,20,10,3
"Otro tipo (017)",54,,17,12,14,8,3
,,,,,,,
"RURAL (018)",51038,1306,19345,13475,8867,5880,2165
"Casa independiente (019)",32938,764,11671,8829,5949,4067,1658
"Choza o cabaña (023)",17996,541,7655,4606,2890,1797,507
"Local no destinado para hab.humana (025)",82,,13,33,23,13,
"Otro tipo (026)",22,1,6,7,5,3,
