"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TARATA (000)",4048,260,3,1436,1399,201,350,113,286
"Empleado (001)",538,,1,22,110,45,145,46,169
"Obrero (002)",585,38,,168,290,37,28,8,16
"Trabajador independiente (003)",1982,161,2,813,661,93,129,49,74
"Empleador o patrono (004)",40,1,,7,20,2,8,1,1
"Trabajador familiar no remunerado (005)",877,60,,417,306,24,37,8,25
"Trabajador del hogar (006)",26,,,9,12,,3,1,1
"Hombres (008)",2332,64,2,722,935,146,212,78,173
"Empleado (009)",311,,,15,66,27,77,30,96
"Obrero (010)",439,18,,106,241,32,23,8,11
"Trabajador independiente (011)",1231,39,2,474,466,74,89,35,52
"Empleador o patrono (012)",31,1,,5,16,1,6,1,1
"Trabajador familiar no remunerado (013)",317,6,,122,143,12,17,4,13
"Trabajador del hogar (014)",3,,,,3,,,,
"Mujeres (016)",1716,196,1,714,464,55,138,35,113
"Empleado (017)",227,,1,7,44,18,68,16,73
"Obrero (018)",146,20,,62,49,5,5,,5
"Trabajador independiente (019)",751,122,,339,195,19,40,14,22
"Empleador o patrono (020)",9,,,2,4,1,2,,
"Trabajador familiar no remunerado (021)",560,54,,295,163,12,20,4,12
"Trabajador del hogar (022)",23,,,9,9,,3,1,1
,,,,,,,,,
"URBANA (024)",3041,170,3,969,1082,180,289,98,250
"Empleado (025)",446,,1,19,88,41,115,41,141
"Obrero (026)",482,34,,130,238,33,24,7,16
"Trabajador independiente (027)",1459,99,2,552,496,85,114,42,69
"Empleador o patrono (028)",39,1,,7,20,2,8,,1
"Trabajador familiar no remunerado (029)",591,36,,253,229,19,25,7,22
"Trabajador del hogar (030)",24,,,8,11,,3,1,1
"Hombres (032)",1736,45,2,461,705,130,177,68,148
"Empleado (033)",257,,,13,56,23,61,27,77
"Obrero (034)",348,16,,77,190,28,19,7,11
"Trabajador independiente (035)",888,22,2,301,336,67,82,30,48
"Empleador o patrono (036)",30,1,,5,16,1,6,,1
"Trabajador familiar no remunerado (037)",210,6,,65,104,11,9,4,11
"Trabajador del hogar (038)",3,,,,3,,,,
"Mujeres (040)",1305,125,1,508,377,50,112,30,102
"Empleado (041)",189,,1,6,32,18,54,14,64
"Obrero (042)",134,18,,53,48,5,5,,5
"Trabajador independiente (043)",571,77,,251,160,18,32,12,21
"Empleador o patrono (044)",9,,,2,4,1,2,,
"Trabajador familiar no remunerado (045)",381,30,,188,125,8,16,3,11
"Trabajador del hogar (046)",21,,,8,8,,3,1,1
,,,,,,,,,
"RURAL (048)",1007,90,,467,317,21,61,15,36
"Empleado (049)",92,,,3,22,4,30,5,28
"Obrero (050)",103,4,,38,52,4,4,1,
"Trabajador independiente (051)",523,62,,261,165,8,15,7,5
"Empleador o patrono (052)",1,,,,,,,1,
"Trabajador familiar no remunerado (053)",286,24,,164,77,5,12,1,3
"Trabajador del hogar (054)",2,,,1,1,,,,
"Hombres (056)",596,19,,261,230,16,35,10,25
"Empleado (057)",54,,,2,10,4,16,3,19
"Obrero (058)",91,2,,29,51,4,4,1,
"Trabajador independiente (059)",343,17,,173,130,7,7,5,4
"Empleador o patrono (060)",1,,,,,,,1,
"Trabajador familiar no remunerado (061)",107,,,57,39,1,8,,2
"Mujeres (064)",411,71,,206,87,5,26,5,11
"Empleado (065)",38,,,1,12,,14,2,9
"Obrero (066)",12,2,,9,1,,,,
"Trabajador independiente (067)",180,45,,88,35,1,8,2,1
"Trabajador familiar no remunerado (069)",179,24,,107,38,4,4,1,1
"Trabajador del hogar (070)",2,,,1,1,,,,
