"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia GRAU (000)",225,130,95
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",19,19,
"Hospital, clinica (004)",29,18,11
"Cárcel, centro de readaptación social (005)",6,6,
"Aldea infantil, orfelinato, etc (007)",51,51,
"Otro (008)",101,21,80
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",19,15,4
