"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PAUCARTAMBO (000)",45877,1105,18636,10415,8118,5451,2152
"Hombres (001)",23105,573,9413,5281,4110,2719,1009
"Mujeres (002)",22772,532,9223,5134,4008,2732,1143
"Viviendas particulares (003)",45494,1102,18613,10283,7973,5381,2142
"Hombres (004)",22834,572,9398,5198,4005,2660,1001
"Mujeres (005)",22660,530,9215,5085,3968,2721,1141
"Viviendas colectivas (006)",221,2,7,78,85,44,5
"Hombres (007)",154,,4,46,62,37,5
"Mujeres (008)",67,2,3,32,23,7,
"Otro tipo (009)",162,1,16,54,60,26,5
"Hombres (010)",117,1,11,37,43,22,3
"Mujeres (011)",45,,5,17,17,4,2
,,,,,,,
"URBANA (012)",8511,163,3089,2083,1735,1042,399
"Hombres (013)",4235,93,1523,1008,889,531,191
"Mujeres (014)",4276,70,1566,1075,846,511,208
"Viviendas particulares (015)",8163,161,3067,1963,1607,974,391
"Hombres (016)",3987,92,1508,933,797,473,184
"Mujeres (017)",4176,69,1559,1030,810,501,207
"Viviendas colectivas (018)",190,1,6,68,69,42,4
"Hombres (019)",133,,4,39,50,36,4
"Mujeres (020)",57,1,2,29,19,6,
"Otro tipo (021)",158,1,16,52,59,26,4
"Hombres (022)",115,1,11,36,42,22,3
"Mujeres (023)",43,,5,16,17,4,1
,,,,,,,
"RURAL (024)",37366,942,15547,8332,6383,4409,1753
"Hombres (025)",18870,480,7890,4273,3221,2188,818
"Mujeres (026)",18496,462,7657,4059,3162,2221,935
"Viviendas particulares (027)",37331,941,15546,8320,6366,4407,1751
"Hombres (028)",18847,480,7890,4265,3208,2187,817
"Mujeres (029)",18484,461,7656,4055,3158,2220,934
"Viviendas colectivas (030)",31,1,1,10,16,2,1
"Hombres (031)",21,,,7,12,1,1
"Mujeres (032)",10,1,1,3,4,1,
"Otro tipo (033)",4,,,2,1,,1
"Hombres (034)",2,,,1,1,,
"Mujeres (035)",2,,,1,,,1
