"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia MARISCAL RAMON CASTILLA (000)",27891,24624,3267
"Hombres (001)",15529,13742,1787
"Mujeres (002)",12362,10882,1480
"De 18 a 29 años (003)",11662,9574,2088
"Hombres (004)",6347,5128,1219
"Mujeres (005)",5315,4446,869
"De 30 a 44 años (006)",8761,8248,513
"Hombres (007)",4853,4573,280
"Mujeres (008)",3908,3675,233
"De 45 a 64 años (009)",5755,5371,384
"Hombres (010)",3335,3159,176
"Mujeres (011)",2420,2212,208
"De 65 y más años (012)",1713,1431,282
"Hombres (013)",994,882,112
"Mujeres (014)",719,549,170
,,,
"URBANA (015)",8812,8294,518
"Hombres (016)",4726,4416,310
"Mujeres (017)",4086,3878,208
"De 18 a 29 años (018)",3654,3275,379
"Hombres (019)",1900,1654,246
"Mujeres (020)",1754,1621,133
"De 30 a 44 años (021)",2967,2918,49
"Hombres (022)",1558,1530,28
"Mujeres (023)",1409,1388,21
"De 45 a 64 años (024)",1725,1678,47
"Hombres (025)",1003,983,20
"Mujeres (026)",722,695,27
"De 65 y más años (027)",466,423,43
"Hombres (028)",265,249,16
"Mujeres (029)",201,174,27
,,,
"RURAL (030)",19079,16330,2749
"Hombres (031)",10803,9326,1477
"Mujeres (032)",8276,7004,1272
"De 18 a 29 años (033)",8008,6299,1709
"Hombres (034)",4447,3474,973
"Mujeres (035)",3561,2825,736
"De 30 a 44 años (036)",5794,5330,464
"Hombres (037)",3295,3043,252
"Mujeres (038)",2499,2287,212
"De 45 a 64 años (039)",4030,3693,337
"Hombres (040)",2332,2176,156
"Mujeres (041)",1698,1517,181
"De 65 y más años (042)",1247,1008,239
"Hombres (043)",729,633,96
"Mujeres (044)",518,375,143
