"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia LORETO",,,,,,,,
"Hogares (001)",11280,3528,2399,796,67,756,173,6535
"Ocupantes presentes (002)",59590,18805,12900,4270,276,3755,784,34169
"Casa independiente",,,,,,,,
"Hogares (004)",8780,2619,2187,728,65,716,163,5031
"Ocupantes presentes (005)",46133,13939,11819,3970,271,3578,755,26005
"Departamento en edificio",,,,,,,,
"Hogares (007)",3,2,3,1,,2,,
"Ocupantes presentes (008)",8,7,8,4,,4,,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",85,45,52,15,,13,7,19
"Ocupantes presentes (011)",268,131,177,56,,50,12,58
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",5,1,2,1,,,,3
"Ocupantes presentes (014)",29,5,8,5,,,,21
"Choza o cabaña",,,,,,,,
"Hogares (016)",2369,851,144,48,1,19,2,1462
"Ocupantes presentes (017)",12997,4687,841,224,2,98,16,8003
"Vivienda improvisada",,,,,,,,
"Hogares (019)",24,6,10,1,,4,,11
"Ocupantes presentes (020)",101,23,44,3,,17,,42
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",9,2,,1,,1,1,6
"Ocupantes presentes (023)",43,7,,5,,5,1,35
"Otro tipo",,,,,,,,
"Hogares (025)",5,2,1,1,1,1,,3
"Ocupantes presentes (026)",11,6,3,3,3,3,,5
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",4624,1810,1986,613,63,658,167,1838
"Ocupantes presentes (029)",24202,9608,10577,3267,263,3242,751,9337
"Casa independiente",,,,,,,,
"Hogares (031)",4499,1753,1918,593,62,637,159,1801
"Ocupantes presentes (032)",23774,9432,10337,3191,260,3163,738,9205
"Departamento en edificio",,,,,,,,
"Hogares (034)",3,2,3,1,,2,,
"Ocupantes presentes (035)",8,7,8,4,,4,,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",85,45,52,15,,13,7,19
"Ocupantes presentes (038)",268,131,177,56,,50,12,58
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",5,1,2,1,,,,3
"Ocupantes presentes (041)",29,5,8,5,,,,21
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",24,6,10,1,,4,,11
"Ocupantes presentes (047)",101,23,44,3,,17,,42
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",4,2,,1,,1,1,1
"Ocupantes presentes (050)",14,7,,5,,5,1,6
"Otro tipo",,,,,,,,
"Hogares (052)",4,1,1,1,1,1,,3
"Ocupantes presentes (053)",8,3,3,3,3,3,,5
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",6656,1718,413,183,4,98,6,4697
"Ocupantes presentes (056)",35388,9197,2323,1003,13,513,33,24832
"Casa independiente",,,,,,,,
"Hogares (058)",4281,866,269,135,3,79,4,3230
"Ocupantes presentes (059)",22359,4507,1482,779,11,415,17,16800
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",2369,851,144,48,1,19,2,1462
"Ocupantes presentes (071)",12997,4687,841,224,2,98,16,8003
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",5,,,,,,,5
"Ocupantes presentes (077)",29,,,,,,,29
"Otro tipo",,,,,,,,
"Hogares (079)",1,1,,,,,,
"Ocupantes presentes (080)",3,3,,,,,,
