"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHEPEN (000)",29456,28208,8007,4540,4625,3644,3774,1904,1008,706,1248,70019
"De 12 a 14 años (001)",2489,2471,2461,9,1,,,,,,18,11
"De 15 a 19 años (002)",3626,3546,3066,428,44,7,1,,,,80,541
"De 20 a 24 años (003)",3162,2804,1114,1138,441,83,24,4,,,358,2393
"De 25 a 29 años (004)",2912,2608,380,969,804,341,110,4,,,304,4084
"De 30 a 34 años (005)",2915,2753,229,664,924,582,313,36,4,1,162,5863
"De 35 a 39 años (006)",2830,2757,178,429,788,707,547,90,14,4,73,7215
"De 40 a 44 años (007)",2491,2420,118,270,598,623,557,197,48,9,71,7514
"De 45 a 49 años (008)",2051,1990,90,178,379,438,556,257,65,27,61,7164
"De 50 y más años (009)",6980,6859,371,455,646,863,1666,1316,877,665,121,35234
"PEA (010)",8070,7538,1609,1497,1583,1154,1005,413,180,97,532,17762
"De 12 a 14 años (011)",109,106,105,1,,,,,,,3,1
"De 15 a 19 años (012)",597,577,503,65,6,3,,,,,20,86
"De 20 a 24 años (013)",939,783,395,264,102,12,9,1,,,156,548
"De 25 a 29 años (014)",967,805,197,319,205,64,19,1,,,162,1006
"De 30 a 34 años (015)",1044,956,122,274,304,162,80,12,1,1,88,1808
"De 35 a 39 años (016)",1175,1144,88,221,340,269,184,37,3,2,31,2774
"De 40 a 44 años (017)",994,965,59,143,271,241,170,60,16,5,29,2718
"De 45 a 49 años (018)",820,798,43,81,174,178,204,86,25,7,22,2697
"De 50 y más años (019)",1425,1404,97,129,181,225,339,216,135,82,21,6124
"Ocupada (020)",7622,7141,1380,1436,1537,1126,981,409,177,95,481,17349
"De 12 a 14 años (021)",101,98,97,1,,,,,,,3,1
