"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia MANU (000)",5067,4948,4749,172,27,119,6,29,80,4
"Casa independiente (001)",4300,4198,4022,154,22,102,6,29,64,3
"Vivienda en quinta (003)",40,40,40,,,,,,,
"Vivienda en casa de vecindad (004)",65,61,59,2,,4,,,3,1
"Choza o cabaña (005)",536,526,514,10,2,10,,,10,
"Vivienda improvisada (006)",68,65,56,6,3,3,,,3,
"Local no dest.para hab. humana (007)",22,22,22,,,,,,,
"Otro tipo (008)",36,36,36,,,,,,,
,,,,,,,,,,
"URBANA (009)",2067,1986,1843,125,18,81,6,24,48,3
"Casa independiente (010)",1876,1802,1670,117,15,74,6,24,42,2
"Vivienda en quinta (012)",40,40,40,,,,,,,
"Vivienda en casa de vecindad (013)",65,61,59,2,,4,,,3,1
"Vivienda improvisada (015)",68,65,56,6,3,3,,,3,
"Local no dest.para hab. humana (016)",15,15,15,,,,,,,
"Otro tipo (017)",3,3,3,,,,,,,
,,,,,,,,,,
"RURAL (018)",3000,2962,2906,47,9,38,,5,32,1
"Casa independiente (019)",2424,2396,2352,37,7,28,,5,22,1
"Choza o cabaña (023)",536,526,514,10,2,10,,,10,
"Local no dest.para hab. humana (025)",7,7,7,,,,,,,
"Otro tipo (026)",33,33,33,,,,,,,
