"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ALTO AMAZONAS (000)",95290,38200,8793,2186,46278
"Quechua (001)",367,150,7,5,207
"Aymara (002)",16,10,1,2,4
"Asháninka (003)",15,8,,3,6
"Otra lengua nativa (004)",12811,6636,77,27,6076
"Castellano (005)",81928,31344,8699,2147,39895
"Idioma Extranjero (006)",7,,2,1,4
"Es Sordomudo/a (007)",146,52,7,1,86
"Hombres (009)",48741,18522,4446,1208,24664
"Quechua (010)",193,70,4,4,116
"Aymara (011)",6,2,1,1,2
"Asháninka (012)",7,5,,1,2
"Otra lengua nativa (013)",6430,3219,56,15,3143
"Castellano (014)",42027,15199,4380,1186,21356
"Idioma Extranjero (015)",7,,2,1,4
"Es Sordomudo/a (016)",71,27,3,,41
"Mujeres (018)",46549,19678,4347,978,21614
"Quechua (019)",174,80,3,1,91
"Aymara (020)",10,8,,1,2
"Asháninka (021)",8,3,,2,4
"Otra lengua nativa (022)",6381,3417,21,12,2933
"Castellano (023)",39901,16145,4319,961,18539
"Es Sordomudo/a (025)",75,25,4,1,45
,,,,,
"URBANA (027)",57955,17847,8211,2097,29950
"Quechua (028)",165,50,6,5,106
"Aymara (029)",11,7,1,1,2
"Asháninka (030)",11,7,,3,3
"Otra lengua nativa (031)",732,311,24,16,384
"Castellano (032)",56943,17448,8171,2070,29397
"Idioma Extranjero (033)",6,,2,1,3
"Es Sordomudo/a (034)",87,24,7,1,55
"Hombres (036)",29004,8410,4125,1163,15398
"Quechua (037)",76,17,3,4,53
"Aymara (038)",4,1,1,1,1
"Asháninka (039)",5,4,,1,1
"Otra lengua nativa (040)",362,141,17,11,195
"Castellano (041)",28509,8234,4099,1145,15119
"Idioma Extranjero (042)",6,,2,1,3
"Es Sordomudo/a (043)",42,13,3,,26
"Mujeres (045)",28951,9437,4086,934,14552
"Quechua (046)",89,33,3,1,53
"Aymara (047)",7,6,,,1
"Asháninka (048)",6,3,,2,2
"Otra lengua nativa (049)",370,170,7,5,189
"Castellano (050)",28434,9214,4072,925,14278
"Es Sordomudo/a (052)",45,11,4,1,29
,,,,,
"RURAL (054)",37335,20353,582,89,16328
"Quechua (055)",202,100,1,,101
"Aymara (056)",5,3,,1,2
"Asháninka (057)",4,1,,,3
"Otra lengua nativa (058)",12079,6325,53,11,5692
"Castellano (059)",24985,13896,528,77,10498
"Idioma Extranjero (060)",1,,,,1
"Es Sordomudo/a (061)",59,28,,,31
"Hombres (063)",19737,10112,321,45,9266
"Quechua (064)",117,53,1,,63
"Aymara (065)",2,1,,,1
"Asháninka (066)",2,1,,,1
"Otra lengua nativa (067)",6068,3078,39,4,2948
"Castellano (068)",13518,6965,281,41,6237
"Idioma Extranjero (069)",1,,,,1
"Es Sordomudo/a (070)",29,14,,,15
"Mujeres (072)",17598,10241,261,44,7062
"Quechua (073)",85,47,,,38
"Aymara (074)",3,2,,1,1
"Asháninka (075)",2,,,,2
"Otra lengua nativa (076)",6011,3247,14,7,2744
"Castellano (077)",11467,6931,247,36,4261
"Es Sordomudo/a (079)",30,14,,,16
