"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PIURA (000)",175996,1232,53626,58128,24746,9262,3958,954,123,,23967
"Catolica (001)",157763,1091,47401,52073,22503,8511,3643,864,114,,21563
"Cristiana / Evangelica (002)",13481,108,4722,4434,1609,562,240,69,8,,1729
"Otra (003)",3760,21,1149,1300,525,166,70,19,1,,509
"Ninguna (004)",992,12,354,321,109,23,5,2,,,166
,,,,,,,,,,,
"URBANA (006)",153922,1018,44361,51033,22833,8690,3717,888,115,,21267
"Catolica (007)",138252,896,39252,45810,20795,7991,3422,807,107,,19172
"Cristiana / Evangelica (008)",11345,90,3797,3731,1441,515,225,62,7,,1477
"Otra (009)",3437,20,1000,1205,497,161,66,18,1,,469
"Ninguna (010)",888,12,312,287,100,23,4,1,,,149
,,,,,,,,,,,
"RURAL (012)",22074,214,9265,7095,1913,572,241,66,8,,2700
"Catolica (013)",19511,195,8149,6263,1708,520,221,57,7,,2391
"Cristiana / Evangelica (014)",2136,18,925,703,168,47,15,7,1,,252
"Otra (015)",323,1,149,95,28,5,4,1,,,40
"Ninguna (016)",104,,42,34,9,,1,1,,,17
