"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TAMBOPATA (000)",18932,412,8235,5484,1661,517,230,62,5,,2326
"Sin Nivel (001)",1382,55,629,358,106,36,22,12,,,164
"Educación Inicial (002)",41,1,22,9,,1,,,,,8
"Primaria (003)",4490,133,2373,1189,239,85,63,20,,,388
"Secundaria (004)",6963,166,3438,1926,417,118,55,7,3,,833
"Sup. no Univ. Incompleta (005)",1424,18,535,488,156,22,5,7,1,,192
"Sup. no Univ. Completa (006)",1777,11,513,631,286,78,27,4,1,,226
"Sup. Univ. Incompleta (007)",1141,15,383,366,118,33,10,2,,,214
"Sup. Univ. Completa (008)",1714,13,342,517,339,144,48,10,,,301
,,,,,,,,,,,
"URBANA (010)",16109,319,6802,4767,1496,466,210,54,5,,1990
"Sin Nivel (011)",950,36,418,252,74,28,14,10,,,118
"Educación Inicial (012)",36,1,18,9,,1,,,,,7
"Primaria (013)",3516,101,1824,971,184,65,57,15,,,299
"Secundaria (014)",5978,131,2930,1659,374,105,53,7,3,,716
"Sup. no Univ. Incompleta (015)",1284,16,477,444,144,20,5,7,1,,170
"Sup. no Univ. Completa (016)",1643,9,462,588,271,76,26,4,1,,206
"Sup. Univ. Incompleta (017)",1073,14,355,348,114,32,8,2,,,200
"Sup. Univ. Completa (018)",1629,11,318,496,335,139,47,9,,,274
,,,,,,,,,,,
"RURAL (020)",2823,93,1433,717,165,51,20,8,,,336
"Sin Nivel (021)",432,19,211,106,32,8,8,2,,,46
"Educación Inicial (022)",5,,4,,,,,,,,1
"Primaria (023)",974,32,549,218,55,20,6,5,,,89
"Secundaria (024)",985,35,508,267,43,13,2,,,,117
"Sup. no Univ. Incompleta (025)",140,2,58,44,12,2,,,,,22
"Sup. no Univ. Completa (026)",134,2,51,43,15,2,1,,,,20
"Sup. Univ. Incompleta (027)",68,1,28,18,4,1,2,,,,14
"Sup. Univ. Completa (028)",85,2,24,21,4,5,1,1,,,27
