"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ISLAY (000)",1430,7,593,459,320,51
"Sin nivel (001)",42,,3,10,24,5
"Educación inicial (002)",3,,2,1,,
"Primaria (003)",250,3,29,81,105,32
"Secundaria (004)",588,4,283,190,103,8
"Superior no univ. incompleta (005)",154,,85,43,25,1
"Superior no univ. completa (006)",214,,122,63,26,3
"Superior univ. incompleta (007)",75,,37,21,17,
"Superior univ. completa (008)",104,,32,50,20,2
"Hombres (010)",1016,4,398,332,239,43
"Sin nivel (011)",14,,2,3,7,2
"Educación inicial (012)",2,,2,,,
"Primaria (013)",170,2,18,45,77,28
"Secundaria (014)",451,2,203,156,83,7
"Superior no univ. incompleta (015)",112,,60,31,20,1
"Superior no univ. completa (016)",130,,67,38,22,3
"Superior univ. incompleta (017)",60,,27,18,15,
"Superior univ. completa (018)",77,,19,41,15,2
"Mujeres (020)",414,3,195,127,81,8
"Sin nivel (021)",28,,1,7,17,3
"Educación inicial (022)",1,,,1,,
"Primaria (023)",80,1,11,36,28,4
"Secundaria (024)",137,2,80,34,20,1
"Superior no univ. incompleta (025)",42,,25,12,5,
"Superior no univ. completa (026)",84,,55,25,4,
"Superior univ. incompleta (027)",15,,10,3,2,
"Superior univ. completa (028)",27,,13,9,5,
,,,,,,
"Area Urbana (030)",1321,7,556,414,297,47
"Sin nivel (031)",38,,3,10,20,5
"Educación inicial (032)",3,,2,1,,
"Primaria (033)",223,3,26,66,99,29
"Secundaria (034)",549,4,262,176,99,8
"Superior no univ. incompleta (035)",148,,80,42,25,1
"Superior no univ. completa (036)",198,,114,59,23,2
"Superior univ. incompleta (037)",70,,37,16,17,
"Superior univ. completa (038)",92,,32,44,14,2
"Hombres (040)",936,4,372,298,223,39
"Sin nivel (041)",13,,2,3,6,2
"Educación inicial (042)",2,,2,,,
"Primaria (043)",156,2,17,40,72,25
"Secundaria (044)",417,2,184,143,81,7
"Superior no univ. incompleta (045)",110,,59,30,20,1
"Superior no univ. completa (046)",117,,62,34,19,2
"Superior univ. incompleta (047)",55,,27,13,15,
"Superior univ. completa (048)",66,,19,35,10,2
"Mujeres (050)",385,3,184,116,74,8
"Sin nivel (051)",25,,1,7,14,3
"Educación inicial (052)",1,,,1,,
"Primaria (053)",67,1,9,26,27,4
"Secundaria (054)",132,2,78,33,18,1
"Superior no univ. incompleta (055)",38,,21,12,5,
"Superior no univ. completa (056)",81,,52,25,4,
"Superior univ. incompleta (057)",15,,10,3,2,
"Superior univ. completa (058)",26,,13,9,4,
,,,,,,
"Area Rural (060)",109,,37,45,23,4
"Sin nivel (061)",4,,,,4,
"Primaria (063)",27,,3,15,6,3
"Secundaria (064)",39,,21,14,4,
"Superior no univ. incompleta (065)",6,,5,1,,
"Superior no univ. completa (066)",16,,8,4,3,1
"Superior univ. incompleta (067)",5,,,5,,
"Superior univ. completa (068)",12,,,6,6,
"Hombres (070)",80,,26,34,16,4
"Sin nivel (071)",1,,,,1,
"Primaria (073)",14,,1,5,5,3
"Secundaria (074)",34,,19,13,2,
"Superior no univ. incompleta (075)",2,,1,1,,
"Superior no univ. completa (076)",13,,5,4,3,1
"Superior univ. incompleta (077)",5,,,5,,
"Superior univ. completa (078)",11,,,6,5,
"Mujeres (080)",29,,11,11,7,
"Sin nivel (081)",3,,,,3,
"Primaria (083)",13,,2,10,1,
"Secundaria (084)",5,,2,1,2,
"Superior no univ. incompleta (085)",4,,4,,,
"Superior no univ. completa (086)",3,,3,,,
"Superior univ. completa (088)",1,,,,1,
