"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SANCHEZ CARRION (000)",37151,1218,14116,11582,7768,2467
"Empleado (001)",3478,25,1129,1637,646,41
"Obrero (002)",5267,93,2348,1674,944,208
"Trabajador independiente (003)",18822,188,5372,6383,5033,1846
"Empleador o patrono (004)",432,1,123,154,112,42
"Trabajador familiar no remunerado (005)",6796,762,3763,1198,793,280
"Trabajador del hogar (006)",621,47,396,114,55,9
"Desocupado (008)",1735,102,985,422,185,41
"Hombres (009)",29328,807,10973,9116,6326,2106
"Empleado (010)",1891,11,575,892,389,24
"Obrero (011)",4889,81,2202,1547,869,190
"Trabajador independiente (012)",16252,150,4645,5474,4334,1649
"Empleador o patrono (013)",384,,99,135,109,41
"Trabajador familiar no remunerado (014)",4529,496,2704,713,451,165
"Trabajador del hogar (015)",19,6,10,1,1,1
"Desocupado (017)",1364,63,738,354,173,36
"Mujeres (018)",7823,411,3143,2466,1442,361
"Empleado (019)",1587,14,554,745,257,17
"Obrero (020)",378,12,146,127,75,18
"Trabajador independiente (021)",2570,38,727,909,699,197
"Empleador o patrono (022)",48,1,24,19,3,1
"Trabajador familiar no remunerado (023)",2267,266,1059,485,342,115
"Trabajador del hogar (024)",602,41,386,113,54,8
"Desocupado (026)",371,39,247,68,12,5
,,,,,,
"URBANA (027)",11676,212,4118,4314,2544,488
"Empleado (028)",3000,20,936,1434,582,28
"Obrero (029)",2221,33,967,726,428,67
"Trabajador independiente (030)",4401,51,1172,1617,1245,316
"Empleador o patrono (031)",193,1,53,72,52,15
"Trabajador familiar no remunerado (032)",627,60,247,173,108,39
"Trabajador del hogar (033)",474,31,307,92,38,6
"Desocupado (035)",760,16,436,200,91,17
"Hombres (036)",7594,138,2684,2710,1713,349
"Empleado (037)",1627,10,470,779,348,20
"Obrero (038)",2035,30,902,654,391,58
"Trabajador independiente (039)",2934,39,828,1027,814,226
"Empleador o patrono (040)",152,,33,56,49,14
"Trabajador familiar no remunerado (041)",260,45,128,45,26,16
"Trabajador del hogar (042)",12,3,6,1,1,1
"Desocupado (044)",574,11,317,148,84,14
"Mujeres (045)",4082,74,1434,1604,831,139
"Empleado (046)",1373,10,466,655,234,8
"Obrero (047)",186,3,65,72,37,9
"Trabajador independiente (048)",1467,12,344,590,431,90
"Empleador o patrono (049)",41,1,20,16,3,1
"Trabajador familiar no remunerado (050)",367,15,119,128,82,23
"Trabajador del hogar (051)",462,28,301,91,37,5
"Desocupado (053)",186,5,119,52,7,3
,,,,,,
"RURAL (054)",25475,1006,9998,7268,5224,1979
"Empleado (055)",478,5,193,203,64,13
"Obrero (056)",3046,60,1381,948,516,141
"Trabajador independiente (057)",14421,137,4200,4766,3788,1530
"Empleador o patrono (058)",239,,70,82,60,27
"Trabajador familiar no remunerado (059)",6169,702,3516,1025,685,241
"Trabajador del hogar (060)",147,16,89,22,17,3
"Desocupado (062)",975,86,549,222,94,24
"Hombres (063)",21734,669,8289,6406,4613,1757
"Empleado (064)",264,1,105,113,41,4
"Obrero (065)",2854,51,1300,893,478,132
"Trabajador independiente (066)",13318,111,3817,4447,3520,1423
"Empleador o patrono (067)",232,,66,79,60,27
"Trabajador familiar no remunerado (068)",4269,451,2576,668,425,149
"Trabajador del hogar (069)",7,3,4,,,
"Desocupado (071)",790,52,421,206,89,22
"Mujeres (072)",3741,337,1709,862,611,222
"Empleado (073)",214,4,88,90,23,9
"Obrero (074)",192,9,81,55,38,9
"Trabajador independiente (075)",1103,26,383,319,268,107
"Empleador o patrono (076)",7,,4,3,,
"Trabajador familiar no remunerado (077)",1900,251,940,357,260,92
"Trabajador del hogar (078)",140,13,85,22,17,3
"Desocupado (080)",185,34,128,16,5,2
