"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia LA UNION",,,,,,,,,
"Viviendas particulares (001)",4671,1746,1810,525,367,93,66,25,39
"Ocupantes presentes (002)",15442,5202,6187,1912,1318,349,234,101,139
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",4385,1542,1764,502,360,90,65,23,39
"Ocupantes presentes (005)",14547,4597,6013,1837,1302,331,233,95,139
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",43,27,5,5,3,,1,2,
"Ocupantes presentes (011)",99,55,24,8,5,,1,6,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",69,45,14,6,2,2,,,
"Ocupantes presentes (014)",177,109,36,18,2,12,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",159,122,22,12,2,1,,,
"Ocupantes presentes (017)",577,424,89,49,9,6,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,2,,,,,,,
"Ocupantes presentes (020)",5,5,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",11,6,5,,,,,,
"Ocupantes presentes (023)",35,10,25,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,2,,,,,,,
"Ocupantes presentes (026)",2,2,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2278,794,816,273,225,64,54,21,31
"Ocupantes presentes (029)",7362,2196,2789,979,788,242,190,78,100
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2160,718,795,262,220,62,53,19,31
"Ocupantes presentes (032)",7064,2025,2714,953,781,230,189,72,100
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",43,27,5,5,3,,1,2,
"Ocupantes presentes (038)",99,55,24,8,5,,1,6,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",69,45,14,6,2,2,,,
"Ocupantes presentes (041)",177,109,36,18,2,12,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,2,,,,,,,
"Ocupantes presentes (047)",5,5,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",3,1,2,,,,,,
"Ocupantes presentes (050)",16,1,15,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",1,1,,,,,,,
"Ocupantes presentes (053)",1,1,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2393,952,994,252,142,29,12,4,8
"Ocupantes presentes (056)",8080,3006,3398,933,530,107,44,23,39
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2225,824,969,240,140,28,12,4,8
"Ocupantes presentes (059)",7483,2572,3299,884,521,101,44,23,39
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",159,122,22,12,2,1,,,
"Ocupantes presentes (071)",577,424,89,49,9,6,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",8,5,3,,,,,,
"Ocupantes presentes (077)",19,9,10,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,1,,,,,,,
"Ocupantes presentes (080)",1,1,,,,,,,
