"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TOCACHE (000)",29486,23014,1578,1284,3610
"Hombres (001)",23032,17685,1221,931,3195
"Mujeres (002)",6454,5329,357,353,415
"De 06 a 14 años (003)",644,593,39,10,2
"Hombres (004)",477,432,35,8,2
"Mujeres (005)",167,161,4,2,
"De 15 a 29 años (006)",10499,7769,602,394,1734
"Hombres (007)",8376,6034,473,282,1587
"Mujeres (008)",2123,1735,129,112,147
"De 30 a 44 años (009)",10581,7968,618,626,1369
"Hombres (010)",8000,5943,464,424,1169
"Mujeres (011)",2581,2025,154,202,200
"De 45 a 64 años (012)",6628,5598,292,250,488
"Hombres (013)",5235,4374,227,213,421
"Mujeres (014)",1393,1224,65,37,67
"De 65 y más años (015)",1134,1086,27,4,17
"Hombres (016)",944,902,22,4,16
"Mujeres (017)",190,184,5,,1
,,,,,
"URBANA (018)",15070,10595,1018,984,2473
"Hombres (019)",10659,7156,740,667,2096
"Mujeres (020)",4411,3439,278,317,377
"De 06 a 14 años (021)",310,276,30,4,
"Hombres (022)",209,179,27,3,
"Mujeres (023)",101,97,3,1,
"De 15 a 29 años (024)",5103,3354,365,275,1109
"Hombres (025)",3704,2286,263,180,975
"Mujeres (026)",1399,1068,102,95,134
"De 30 a 44 años (027)",5674,3801,403,504,966
"Hombres (028)",3830,2437,289,316,788
"Mujeres (029)",1844,1364,114,188,178
"De 45 a 64 años (030)",3485,2697,204,199,385
"Hombres (031)",2526,1891,148,166,321
"Mujeres (032)",959,806,56,33,64
"De 65 y más años (033)",498,467,16,2,13
"Hombres (034)",390,363,13,2,12
"Mujeres (035)",108,104,3,,1
,,,,,
"RURAL (036)",14416,12419,560,300,1137
"Hombres (037)",12373,10529,481,264,1099
"Mujeres (038)",2043,1890,79,36,38
"De 06 a 14 años (039)",334,317,9,6,2
"Hombres (040)",268,253,8,5,2
"Mujeres (041)",66,64,1,1,
"De 15 a 29 años (042)",5396,4415,237,119,625
"Hombres (043)",4672,3748,210,102,612
"Mujeres (044)",724,667,27,17,13
"De 30 a 44 años (045)",4907,4167,215,122,403
"Hombres (046)",4170,3506,175,108,381
"Mujeres (047)",737,661,40,14,22
"De 45 a 64 años (048)",3143,2901,88,51,103
"Hombres (049)",2709,2483,79,47,100
"Mujeres (050)",434,418,9,4,3
"De 65 y más años (051)",636,619,11,2,4
"Hombres (052)",554,539,9,2,4
"Mujeres (053)",82,80,2,,
