"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUAMALIES (000)",1668,322,1346
"De 14 a 29 años (001)",746,254,492
"De 30 a 44 años (002)",481,58,423
"De 45 a 64 años (003)",317,10,307
"De 65 y más años (004)",124,,124
"Hombres (005)",1136,224,912
"De 14 a 29 años (006)",494,170,324
"De 30 a 44 años (007)",332,46,286
"De 45 a 64 años (008)",229,8,221
"De 65 y más años (009)",81,,81
"Mujeres (010)",532,98,434
"De 14 a 29 años (011)",252,84,168
"De 30 a 44 años (012)",149,12,137
"De 45 a 64 años (013)",88,2,86
"De 65 y más años (014)",43,,43
,,,
"AREA URBANA (015)",347,64,283
"De 14 a 29 años (016)",163,55,108
"De 30 a 44 años (017)",81,9,72
"De 45 a 64 años (018)",67,,67
"De 65 y más años (019)",36,,36
"Hombres (020)",245,43,202
"De 14 a 29 años (021)",113,38,75
"De 30 a 44 años (022)",58,5,53
"De 45 a 64 años (023)",51,,51
"De 65 y más años (024)",23,,23
"Mujeres (025)",102,21,81
"De 14 a 29 años (026)",50,17,33
"De 30 a 44 años (027)",23,4,19
"De 45 a 64 años (028)",16,,16
"De 65 y más años (029)",13,,13
,,,
"AREA RURAL (030)",1321,258,1063
"De 14 a 29 años (031)",583,199,384
"De 30 a 44 años (032)",400,49,351
"De 45 a 64 años (033)",250,10,240
"De 65 y más años (034)",88,,88
"Hombres (035)",891,181,710
"De 14 a 29 años (036)",381,132,249
"De 30 a 44 años (037)",274,41,233
"De 45 a 64 años (038)",178,8,170
"De 65 y más años (039)",58,,58
"Mujeres (040)",430,77,353
"De 14 a 29 años (041)",202,67,135
"De 30 a 44 años (042)",126,8,118
"De 45 a 64 años (043)",72,2,70
"De 65 y más años (044)",30,,30
