"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAÑETE (000)",82659,934,27334,30018,20267,4106
"Agric., ganadería, caza y silvicultura (001)",26858,384,8295,8821,7157,2201
"Pesca (002)",567,10,153,177,197,30
"Explotación de minas y canteras (003)",1017,,409,498,107,3
"Industrias manufactureras (004)",3787,33,1482,1377,756,139
"Suministro de electricidad, gas y agua (005)",207,,57,76,69,5
"Construcción (006)",6817,23,2547,2630,1470,147
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",14188,280,4416,5077,3639,776
"Venta, mant.y rep. veh.autom.y motoc. (008)",1490,14,574,497,342,63
"Comercio al por mayor (009)",924,7,374,320,203,20
"Comercio al por menor (010)",11774,259,3468,4260,3094,693
"Hoteles y restaurantes (011)",3926,79,1347,1242,1065,193
"Trans., almac. y comunicaciones (012)",6989,50,2774,2514,1489,162
"Intermediación financiera (013)",299,1,142,120,36,
"Activid.inmobil., empres. y alquileres (014)",3658,11,1406,1416,728,97
"Admin.pub. y defensa; p. segur.soc.afil (015)",2742,,795,1148,759,40
"Enseñanza (016)",4345,,817,2251,1232,45
"Servicios sociales y de salud (017)",1432,1,386,609,407,29
"Otras activ. serv.comun.soc y personales (018)",2509,26,985,898,494,106
"Hogares privados con servicio doméstico (019)",2245,35,928,827,401,54
"Organiz. y organos extraterritoriales (020)",1,,,,,1
"Actividad economica no especificada (021)",1072,1,395,337,261,78
"Hombres (022)",53037,606,17889,18495,13079,2968
"Agric., ganadería, caza y silvicultura (023)",18647,273,5805,5763,5013,1793
"Pesca (024)",539,8,150,166,186,29
"Explotación de minas y canteras (025)",983,,394,481,105,3
"Industrias manufactureras (026)",2913,30,1170,1041,566,106
"Suministro de electricidad, gas y agua (027)",172,,46,57,64,5
"Construcción (028)",6708,23,2496,2592,1451,146
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",6582,156,2250,2163,1627,386
"Venta, mant.y rep. veh.autom.y motoc. (030)",1359,13,519,442,323,62
"Comercio al por mayor (031)",553,6,247,184,105,11
"Comercio al por menor (032)",4670,137,1484,1537,1199,313
"Hoteles y restaurantes (033)",1096,33,423,300,281,59
"Trans., almac. y comunicaciones (034)",6548,48,2522,2379,1441,158
"Intermediación financiera (035)",144,,58,62,24,
"Activid.inmobil., empres. y alquileres (036)",2813,10,1004,1112,598,89
"Admin.pub. y defensa; p. segur.soc.afil (037)",1632,,383,687,535,27
