"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHUMBIVILCAS (000)",75585,52123,2715,570,20231
"Menos de 1 año (001)",1533,1320,35,3,175
"De 1 a 14 años (002)",30350,25806,903,212,3452
"De 15 a 29 años (003)",15159,8638,408,133,5985
"De 30 a 44 años (004)",12455,6812,844,131,4681
"De 45 a 64 años (005)",10773,6366,431,79,3907
"De 65 y mas años (006)",5315,3181,94,12,2031
"Hombres (008)",38166,25488,1440,343,10925
"Menos de 1 año (009)",768,665,18,2,83
"De 1 a 14 años (010)",15562,13242,468,118,1745
"De 15 a 29 años (011)",7663,4004,187,76,3398
"De 30 a 44 años (012)",6228,3006,454,88,2690
"De 45 a 64 años (013)",5435,3064,261,51,2064
"De 65 y mas años (014)",2510,1507,52,8,945
"Mujeres (016)",37419,26635,1275,227,9306
"Menos de 1 año (017)",765,655,17,1,92
"De 1 a 14 años (018)",14788,12564,435,94,1707
"De 15 a 29 años (019)",7496,4634,221,57,2587
"De 30 a 44 años (020)",6227,3806,390,43,1991
"De 45 a 64 años (021)",5338,3302,170,28,1843
"De 65 y mas años (022)",2805,1674,42,4,1086
,,,,,
"URBANA (024)",17505,8206,2159,326,6840
"Menos de 1 año (025)",342,261,27,2,52
"De 1 a 14 años (026)",6499,4639,723,81,1065
"De 15 a 29 años (027)",4276,1605,301,101,2272
"De 30 a 44 años (028)",3324,756,706,83,1790
"De 45 a 64 años (029)",2166,631,324,55,1159
"De 65 y mas años (030)",898,314,78,4,502
"Hombres (032)",8823,4042,1159,212,3428
"Menos de 1 año (033)",165,128,13,1,23
"De 1 a 14 años (034)",3336,2400,374,50,517
"De 15 a 29 años (035)",2138,757,150,64,1169
"De 30 a 44 años (036)",1680,315,380,61,933
"De 45 a 64 años (037)",1121,302,198,35,588
"De 65 y mas años (038)",383,140,44,1,198
"Mujeres (040)",8682,4164,1000,114,3412
"Menos de 1 año (041)",177,133,14,1,29
"De 1 a 14 años (042)",3163,2239,349,31,548
"De 15 a 29 años (043)",2138,848,151,37,1103
"De 30 a 44 años (044)",1644,441,326,22,857
"De 45 a 64 años (045)",1045,329,126,20,571
"De 65 y mas años (046)",515,174,34,3,304
,,,,,
"RURAL (048)",58080,43917,556,244,13391
"Menos de 1 año (049)",1191,1059,8,1,123
"De 1 a 14 años (050)",23851,21167,180,131,2387
"De 15 a 29 años (051)",10883,7033,107,32,3713
"De 30 a 44 años (052)",9131,6056,138,48,2891
"De 45 a 64 años (053)",8607,5735,107,24,2748
"De 65 y mas años (054)",4417,2867,16,8,1529
"Hombres (056)",29343,21446,281,131,7497
"Menos de 1 año (057)",603,537,5,1,60
"De 1 a 14 años (058)",12226,10842,94,68,1228
"De 15 a 29 años (059)",5525,3247,37,12,2229
"De 30 a 44 años (060)",4548,2691,74,27,1757
"De 45 a 64 años (061)",4314,2762,63,16,1476
"De 65 y mas años (062)",2127,1367,8,7,747
"Mujeres (064)",28737,22471,275,113,5894
"Menos de 1 año (065)",588,522,3,,63
"De 1 a 14 años (066)",11625,10325,86,63,1159
"De 15 a 29 años (067)",5358,3786,70,20,1484
"De 30 a 44 años (068)",4583,3365,64,21,1134
"De 45 a 64 años (069)",4293,2973,44,8,1272
"De 65 y mas años (070)",2290,1500,8,1,782
