"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia EL DORADO (000)",16646,13142,3504
"De 3 a 5 años (001)",2559,111,2448
"De 6 a 11 años (002)",5087,4310,777
"De 12 a 16 años (003)",4259,4175,84
"De 17 a 24 años (004)",4741,4546,195
"Hombres (005)",8714,6934,1780
"De 3 a 5 años (006)",1312,68,1244
"De 6 a 11 años (007)",2576,2169,407
"De 12 a 16 años (008)",2321,2270,51
"De 17 a 24 años (009)",2505,2427,78
"Mujeres (010)",7932,6208,1724
"De 3 a 5 años (011)",1247,43,1204
"De 6 a 11 años (012)",2511,2141,370
"De 12 a 16 años (013)",1938,1905,33
"De 17 a 24 años (014)",2236,2119,117
,,,
"URBANA (015)",6118,5076,1042
"De 3 a 5 años (016)",838,52,786
"De 6 a 11 años (017)",1841,1644,197
"De 12 a 16 años (018)",1743,1722,21
"De 17 a 24 años (019)",1696,1658,38
"Hombres (020)",3115,2601,514
"De 3 a 5 años (021)",412,27,385
"De 6 a 11 años (022)",933,833,100
"De 12 a 16 años (023)",891,879,12
"De 17 a 24 años (024)",879,862,17
"Mujeres (025)",3003,2475,528
"De 3 a 5 años (026)",426,25,401
"De 6 a 11 años (027)",908,811,97
"De 12 a 16 años (028)",852,843,9
"De 17 a 24 años (029)",817,796,21
,,,
"RURAL (030)",10528,8066,2462
"De 3 a 5 años (031)",1721,59,1662
"De 6 a 11 años (032)",3246,2666,580
"De 12 a 16 años (033)",2516,2453,63
"De 17 a 24 años (034)",3045,2888,157
"Hombres (035)",5599,4333,1266
"De 3 a 5 años (036)",900,41,859
"De 6 a 11 años (037)",1643,1336,307
"De 12 a 16 años (038)",1430,1391,39
"De 17 a 24 años (039)",1626,1565,61
"Mujeres (040)",4929,3733,1196
"De 3 a 5 años (041)",821,18,803
"De 6 a 11 años (042)",1603,1330,273
"De 12 a 16 años (043)",1086,1062,24
"De 17 a 24 años (044)",1419,1323,96
