"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHACHAPOYAS (000)",46805,2181,10777,9166,7367,6455,4494,2884,3481
"Quechua (001)",114,,8,10,7,10,11,18,50
"Aymara (002)",13,,4,1,2,1,1,3,1
"Ashaninca (003)",5,,,1,3,,,1,
"Otra lengua nativa (004)",38,,4,22,6,2,3,,1
"Castellano (005)",46467,2175,10740,9113,7322,6406,4461,2837,3413
"Idioma extranjero (006)",21,,1,3,10,1,2,3,1
"Es sordomudo/a (007)",147,6,20,16,17,35,16,22,15
"Hombres (009)",22957,1119,5421,4500,3668,3123,2235,1378,1513
"Quechua (010)",45,,3,4,4,5,6,9,14
"Aymara (011)",7,,2,,1,1,1,1,1
"Ashaninca (012)",3,,,1,1,,,1,
"Otra lengua nativa (013)",16,,1,9,3,,3,,
"Castellano (014)",22810,1114,5406,4478,3647,3100,2221,1355,1489
"Idioma extranjero (015)",11,,,2,4,1,,3,1
"Es sordomudo/a (016)",65,5,9,6,8,16,4,9,8
"Mujeres (018)",23848,1062,5356,4666,3699,3332,2259,1506,1968
"Quechua (019)",69,,5,6,3,5,5,9,36
"Aymara (020)",6,,2,1,1,,,2,
"Ashaninca (021)",2,,,,2,,,,
"Otra lengua nativa (022)",22,,3,13,3,2,,,1
"Castellano (023)",23657,1061,5334,4635,3675,3306,2240,1482,1924
"Idioma extranjero (024)",10,,1,1,6,,2,,
"Es sordomudo/a (025)",82,1,11,10,9,19,12,13,7
,,,,,,,,,
"URBANA (027)",32519,1368,7099,6641,5287,4662,3159,1984,2319
"Quechua (028)",92,,8,9,7,8,11,13,36
"Aymara (029)",10,,2,1,2,,1,3,1
"Ashaninca (030)",5,,,1,3,,,1,
"Otra lengua nativa (031)",38,,4,22,6,2,3,,1
"Castellano (032)",32273,1364,7072,6596,5247,4637,3134,1954,2269
"Idioma extranjero (033)",20,,1,3,10,1,2,2,1
"Es sordomudo/a (034)",81,4,12,9,12,14,8,11,11
"Hombres (036)",15587,708,3512,3136,2569,2206,1548,930,978
"Quechua (037)",38,,3,4,4,3,6,6,12
"Aymara (038)",5,,1,,1,,1,1,1
"Ashaninca (039)",3,,,1,1,,,1,
"Otra lengua nativa (040)",16,,1,9,3,,3,,
"Castellano (041)",15482,705,3503,3115,2550,2198,1536,916,959
"Idioma extranjero (042)",10,,,2,4,1,,2,1
"Es sordomudo/a (043)",33,3,4,5,6,4,2,4,5
"Mujeres (045)",16932,660,3587,3505,2718,2456,1611,1054,1341
"Quechua (046)",54,,5,5,3,5,5,7,24
"Aymara (047)",5,,1,1,1,,,2,
"Ashaninca (048)",2,,,,2,,,,
"Otra lengua nativa (049)",22,,3,13,3,2,,,1
"Castellano (050)",16791,659,3569,3481,2697,2439,1598,1038,1310
"Idioma extranjero (051)",10,,1,1,6,,2,,
"Es sordomudo/a (052)",48,1,8,4,6,10,6,7,6
,,,,,,,,,
"RURAL (054)",14286,813,3678,2525,2080,1793,1335,900,1162
"Quechua (055)",22,,,1,,2,,5,14
"Aymara (056)",3,,2,,,1,,,
"Castellano (059)",14194,811,3668,2517,2075,1769,1327,883,1144
"Idioma extranjero (060)",1,,,,,,,1,
"Es sordomudo/a (061)",66,2,8,7,5,21,8,11,4
"Hombres (063)",7370,411,1909,1364,1099,917,687,448,535
"Quechua (064)",7,,,,,2,,3,2
"Aymara (065)",2,,1,,,1,,,
"Castellano (068)",7328,409,1903,1363,1097,902,685,439,530
"Idioma extranjero (069)",1,,,,,,,1,
"Es sordomudo/a (070)",32,2,5,1,2,12,2,5,3
"Mujeres (072)",6916,402,1769,1161,981,876,648,452,627
"Quechua (073)",15,,,1,,,,2,12
"Aymara (074)",1,,1,,,,,,
"Castellano (077)",6866,402,1765,1154,978,867,642,444,614
"Es sordomudo/a (079)",34,,3,6,3,9,6,6,1
