"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia MANU (000)",10471,1838,3423,3724,329,572,280,305
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",22,21,,,1,,,
"Profes., científicos e intelectuales (002)",330,285,,36,7,2,,
"Técnicos de nivel medio y trab. asimilados (003)",416,154,,177,82,3,,
"Jefes y empleados de oficina (004)",173,167,,1,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1876,610,68,954,50,194,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",939,1,3,903,32,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1454,,642,661,115,36,,
"Obreros construc.,conf.,papel, fab., instr. (008)",1022,176,277,531,18,20,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3372,260,2199,338,10,285,280,
"Otra (010)",24,24,,,,,,
"Ocupaciñn no especificada (011)",538,140,234,123,14,27,,
"Desocupado (012)",305,,,,,,,305
"Hombres (013)",7535,949,3235,2494,241,300,60,256
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",16,15,,,1,,,
"Profes., científicos e intelectuales (015)",179,148,,23,6,2,,
"Técnicos de nivel medio y trab. asimilados (016)",269,107,,100,61,1,,
"Jefes y empleados de oficina (017)",104,102,,1,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",547,174,7,310,16,40,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",835,1,3,806,25,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",1354,,627,588,104,35,,
"Obreros construc.,conf.,papel, fab., instr. (021)",1001,175,272,518,17,19,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",2573,127,2107,86,3,190,60,
"Otra (023)",24,24,,,,,,
"Ocupaciñn no especificada (024)",377,76,219,62,8,12,,
"Desocupado (025)",256,,,,,,,256
"Mujeres (026)",2936,889,188,1230,88,272,220,49
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",6,6,,,,,,
"Profes., científicos e intelectuales (028)",151,137,,13,1,,,
"Técnicos de nivel medio y trab. asimilados (029)",147,47,,77,21,2,,
"Jefes y empleados de oficina (030)",69,65,,,,4,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1329,436,61,644,34,154,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",104,,,97,7,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",100,,15,73,11,1,,
"Obreros construc.,conf.,papel, fab., instr. (034)",21,1,5,13,1,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",799,133,92,252,7,95,220,
"Ocupaciñn no especificada (037)",161,64,15,61,6,15,,
"Desocupado (038)",49,,,,,,,49
,,,,,,,,
"URBANA (039)",3281,870,568,1400,73,197,109,64
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",14,14,,,,,,
"Profes., científicos e intelectuales (041)",177,153,,20,2,2,,
"Técnicos de nivel medio y trab. asimilados (042)",176,71,,87,17,1,,
"Jefes y empleados de oficina (043)",99,97,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",785,227,9,445,13,91,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",160,1,,157,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",409,,122,262,15,10,,
"Obreros construc.,conf.,papel, fab., instr. (047)",415,69,125,206,10,5,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",718,128,246,158,6,71,109,
"Otra (049)",19,19,,,,,,
"Ocupaciñn no especificada (050)",245,91,66,65,8,15,,
"Desocupado (051)",64,,,,,,,64
"Hombres (052)",2033,453,522,849,47,95,18,49
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",8,8,,,,,,
"Profes., científicos e intelectuales (054)",87,70,,14,1,2,,
"Técnicos de nivel medio y trab. asimilados (055)",111,48,,52,11,,,
"Jefes y empleados de oficina (056)",54,53,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",264,85,2,149,4,24,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",138,1,,135,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",373,,117,234,13,9,,
"Obreros construc.,conf.,papel, fab., instr. (060)",407,69,122,202,9,5,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",381,57,220,37,2,47,18,
"Otra (062)",19,19,,,,,,
"Ocupaciñn no especificada (063)",142,43,61,26,5,7,,
"Desocupado (064)",49,,,,,,,49
"Mujeres (065)",1248,417,46,551,26,102,91,15
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",6,6,,,,,,
"Profes., científicos e intelectuales (067)",90,83,,6,1,,,
"Técnicos de nivel medio y trab. asimilados (068)",65,23,,35,6,1,,
"Jefes y empleados de oficina (069)",45,44,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",521,142,7,296,9,67,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",22,,,22,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",36,,5,28,2,1,,
"Obreros construc.,conf.,papel, fab., instr. (073)",8,,3,4,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",337,71,26,121,4,24,91,
"Ocupaciñn no especificada (076)",103,48,5,39,3,8,,
"Desocupado (077)",15,,,,,,,15
,,,,,,,,
"RURAL (078)",7190,968,2855,2324,256,375,171,241
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",8,7,,,1,,,
"Profes., científicos e intelectuales (080)",153,132,,16,5,,,
"Técnicos de nivel medio y trab. asimilados (081)",240,83,,90,65,2,,
"Jefes y empleados de oficina (082)",74,70,,1,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",1091,383,59,509,37,103,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",779,,3,746,30,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",1045,,520,399,100,26,,
"Obreros construc.,conf.,papel, fab., instr. (086)",607,107,152,325,8,15,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",2654,132,1953,180,4,214,171,
"Otra (088)",5,5,,,,,,
"Ocupaciñn no especificada (089)",293,49,168,58,6,12,,
"Desocupado (090)",241,,,,,,,241
"Hombres (091)",5502,496,2713,1645,194,205,42,207
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",8,7,,,1,,,
"Profes., científicos e intelectuales (093)",92,78,,9,5,,,
"Técnicos de nivel medio y trab. asimilados (094)",158,59,,48,50,1,,
"Jefes y empleados de oficina (095)",50,49,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",283,89,5,161,12,16,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",697,,3,671,23,,,
