"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia MOHO",,,,,,,,,
"Hogares (001)",9435,5,348,66,24,4668,4187,22,115
"Ocupantes presentes (002)",27342,19,1011,161,79,13703,12141,57,171
"Casa independiente",,,,,,,,,
"Hogares (004)",8375,5,334,65,24,4554,3267,22,104
"Ocupantes presentes (005)",24317,19,979,160,79,13446,9425,57,152
"Departamento en edificio",,,,,,,,,
"Hogares (007)",1,,1,,,,,,
"Ocupantes presentes (008)",5,,5,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",6,,6,,,,,,
"Ocupantes presentes (011)",13,,13,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",24,,5,,,14,4,,1
"Ocupantes presentes (014)",76,,10,,,47,17,,2
"Choza o cabaña",,,,,,,,,
"Hogares (016)",1019,,,1,,96,913,,9
"Ocupantes presentes (017)",2908,,,1,,202,2691,,14
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",8,,2,,,4,2,,
"Ocupantes presentes (023)",17,,4,,,8,5,,
"Otro tipo",,,,,,,,,
"Hogares (025)",2,,,,,,1,,1
"Ocupantes presentes (026)",6,,,,,,3,,3
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",2342,3,288,50,15,1304,623,6,53
"Ocupantes presentes (029)",7478,15,877,139,57,4326,1954,27,83
"Casa independiente",,,,,,,,,
"Hogares (031)",2306,3,275,50,15,1287,618,6,52
"Ocupantes presentes (032)",7373,15,847,139,57,4272,1935,27,81
"Departamento en edificio",,,,,,,,,
"Hogares (034)",1,,1,,,,,,
"Ocupantes presentes (035)",5,,5,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",6,,6,,,,,,
"Ocupantes presentes (038)",13,,13,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",24,,5,,,14,4,,1
"Ocupantes presentes (041)",76,,10,,,47,17,,2
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",5,,1,,,3,1,,
"Ocupantes presentes (050)",11,,2,,,7,2,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",7093,2,60,16,9,3364,3564,16,62
"Ocupantes presentes (056)",19864,4,134,22,22,9377,10187,30,88
"Casa independiente",,,,,,,,,
"Hogares (058)",6069,2,59,15,9,3267,2649,16,52
"Ocupantes presentes (059)",16944,4,132,21,22,9174,7490,30,71
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",1019,,,1,,96,913,,9
"Ocupantes presentes (071)",2908,,,1,,202,2691,,14
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",3,,1,,,1,1,,
"Ocupantes presentes (077)",6,,2,,,1,3,,
"Otro tipo",,,,,,,,,
"Hogares (079)",2,,,,,,1,,1
"Ocupantes presentes (080)",6,,,,,,3,,3
