"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia JULCAN (000)",30470,1815,8845,5526,4075,3763,2414,1807,2225
"Quechua (001)",7,,,3,,2,1,,1
"Aymara (002)",3,,3,,,,,,
"Ashaninca (003)",2,1,1,,,,,,
"Otra lengua nativa (004)",2,,,,2,,,,
"Castellano (005)",30431,1813,8827,5521,4068,3760,2411,1807,2224
"Es sordomudo/a (007)",25,1,14,2,5,1,2,,
"Hombres (009)",15260,906,4509,2767,1983,1886,1148,949,1112
"Quechua (010)",5,,,3,,1,,,1
"Aymara (011)",2,,2,,,,,,
"Ashaninca (012)",2,1,1,,,,,,
"Otra lengua nativa (013)",2,,,,2,,,,
"Castellano (014)",15237,905,4499,2762,1979,1884,1148,949,1111
"Es sordomudo/a (016)",12,,7,2,2,1,,,
"Mujeres (018)",15210,909,4336,2759,2092,1877,1266,858,1113
"Quechua (019)",2,,,,,1,1,,
"Aymara (020)",1,,1,,,,,,
"Castellano (023)",15194,908,4328,2759,2089,1876,1263,858,1113
"Es sordomudo/a (025)",13,1,7,,3,,2,,
,,,,,,,,,
"URBANA (027)",4571,218,1201,735,710,639,435,321,312
"Quechua (028)",3,,,,,1,1,,1
"Aymara (029)",1,,1,,,,,,
"Ashaninca (030)",1,,1,,,,,,
"Otra lengua nativa (031)",2,,,,2,,,,
"Castellano (032)",4558,218,1197,735,705,638,433,321,311
"Es sordomudo/a (034)",6,,2,,3,,1,,
"Hombres (036)",2212,111,626,342,311,319,194,162,147
"Quechua (037)",2,,,,,1,,,1
"Aymara (038)",1,,1,,,,,,
"Ashaninca (039)",1,,1,,,,,,
"Otra lengua nativa (040)",2,,,,2,,,,
"Castellano (041)",2203,111,622,342,308,318,194,162,146
"Es sordomudo/a (043)",3,,2,,1,,,,
"Mujeres (045)",2359,107,575,393,399,320,241,159,165
"Quechua (046)",1,,,,,,1,,
"Castellano (050)",2355,107,575,393,397,320,239,159,165
"Es sordomudo/a (052)",3,,,,2,,1,,
,,,,,,,,,
"RURAL (054)",25899,1597,7644,4791,3365,3124,1979,1486,1913
"Quechua (055)",4,,,3,,1,,,
"Aymara (056)",2,,2,,,,,,
"Ashaninca (057)",1,1,,,,,,,
"Castellano (059)",25873,1595,7630,4786,3363,3122,1978,1486,1913
"Es sordomudo/a (061)",19,1,12,2,2,1,1,,
"Hombres (063)",13048,795,3883,2425,1672,1567,954,787,965
"Quechua (064)",3,,,3,,,,,
"Aymara (065)",1,,1,,,,,,
"Ashaninca (066)",1,1,,,,,,,
"Castellano (068)",13034,794,3877,2420,1671,1566,954,787,965
"Es sordomudo/a (070)",9,,5,2,1,1,,,
"Mujeres (072)",12851,802,3761,2366,1693,1557,1025,699,948
"Quechua (073)",1,,,,,1,,,
"Aymara (074)",1,,1,,,,,,
"Castellano (077)",12839,801,3753,2366,1692,1556,1024,699,948
"Es sordomudo/a (079)",10,1,7,,1,,1,,
