"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CONDORCANQUI (000)",649,334,315
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",65,31,34
"Casa pensión (003)",12,9,3
"Hospital, clinica (004)",36,36,
"Asilo (006)",3,,3
"Otro (008)",420,145,275
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",113,113,
