"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ASUNCION (000)",2551,41,1008,872,238,85,34,11,2,,260
"Sin Nivel (001)",1241,26,553,406,92,42,22,8,1,,91
"Educación Inicial (002)",4,1,1,1,,,,,,,1
"Primaria (003)",602,12,273,205,41,16,1,2,1,,51
"Secundaria (004)",443,,153,169,42,9,6,1,,,63
"Sup. no Univ. Incompleta (005)",32,,3,8,6,3,,,,,12
"Sup. no Univ. Completa (006)",123,1,13,58,27,8,2,,,,14
"Sup. Univ. Incompleta (007)",32,,2,7,12,1,,,,,10
"Sup. Univ. Completa (008)",74,1,10,18,18,6,3,,,,18
,,,,,,,,,,,
"URBANA (010)",612,6,166,230,86,28,14,6,,,76
"Sin Nivel (011)",109,4,37,34,10,3,5,4,,,12
"Educación Inicial (012)",1,,1,,,,,,,,
"Primaria (013)",137,1,57,49,10,6,1,1,,,12
"Secundaria (014)",163,,50,69,17,5,4,1,,,17
"Sup. no Univ. Incompleta (015)",21,,1,5,5,2,,,,,8
"Sup. no Univ. Completa (016)",102,1,11,52,19,6,1,,,,12
"Sup. Univ. Incompleta (017)",24,,2,6,11,1,,,,,4
"Sup. Univ. Completa (018)",55,,7,15,14,5,3,,,,11
,,,,,,,,,,,
"RURAL (020)",1939,35,842,642,152,57,20,5,2,,184
"Sin Nivel (021)",1132,22,516,372,82,39,17,4,1,,79
"Educación Inicial (022)",3,1,,1,,,,,,,1
"Primaria (023)",465,11,216,156,31,10,,1,1,,39
"Secundaria (024)",280,,103,100,25,4,2,,,,46
"Sup. no Univ. Incompleta (025)",11,,2,3,1,1,,,,,4
"Sup. no Univ. Completa (026)",21,,2,6,8,2,1,,,,2
"Sup. Univ. Incompleta (027)",8,,,1,1,,,,,,6
"Sup. Univ. Completa (028)",19,1,3,3,4,1,,,,,7
