"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PICOTA (000)",17432,2731,5152,4604,4945
"Asiste actualmente (001)",9880,989,4728,3436,727
"No asiste (002)",7552,1742,424,1168,4218
"Hombres (004)",9007,1418,2644,2443,2502
"Asiste actualmente (005)",5140,496,2424,1808,412
"No asiste (006)",3867,922,220,635,2090
"Mujeres (008)",8425,1313,2508,2161,2443
"Asiste actualmente (009)",4740,493,2304,1628,315
"No asiste (010)",3685,820,204,533,2128
,,,,,
"URBANA (012)",10411,1528,2943,3028,2912
"Asiste actualmente (013)",6573,668,2755,2570,580
"No asiste (014)",3838,860,188,458,2332
"Hombres (016)",5296,792,1520,1581,1403
"Asiste actualmente (017)",3413,334,1421,1333,325
"No asiste (018)",1883,458,99,248,1078
"Mujeres (020)",5115,736,1423,1447,1509
"Asiste actualmente (021)",3160,334,1334,1237,255
"No asiste (022)",1955,402,89,210,1254
,,,,,
"RURAL (024)",7021,1203,2209,1576,2033
"Asiste actualmente (025)",3307,321,1973,866,147
"No asiste (026)",3714,882,236,710,1886
"Hombres (028)",3711,626,1124,862,1099
"Asiste actualmente (029)",1727,162,1003,475,87
"No asiste (030)",1984,464,121,387,1012
"Mujeres (032)",3310,577,1085,714,934
"Asiste actualmente (033)",1580,159,970,391,60
"No asiste (034)",1730,418,115,323,874
