"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CAMANA (000)",14099,199,4741,4613,1947,703,304,63,12,,1517
"Conviviente (001)",5072,87,2101,1659,558,154,59,17,1,,436
"Separado(a) (002)",852,12,329,284,93,51,18,2,2,,61
"Casado(a) (003)",5606,54,1666,1996,998,367,151,34,7,,333
"Viudo(a) (004)",948,25,340,306,109,39,36,5,,,88
"Divorciado(a) (005)",107,1,38,29,21,5,4,1,,,8
"Soltero(a) (006)",1514,20,267,339,168,87,36,4,2,,591
,,,,,,,,,,,
"URBANA (008)",12276,162,3996,4018,1761,646,273,58,12,,1350
"Conviviente (009)",4061,65,1641,1323,463,139,47,15,1,,367
"Separado(a) (010)",778,11,303,260,84,46,16,2,2,,54
"Casado(a) (011)",5104,44,1471,1814,947,345,140,31,7,,305
"Viudo(a) (012)",858,24,305,279,97,35,33,5,,,80
"Divorciado(a) (013)",102,,36,29,20,5,4,1,,,7
"Soltero(a) (014)",1373,18,240,313,150,76,33,4,2,,537
,,,,,,,,,,,
"RURAL (016)",1823,37,745,595,186,57,31,5,,,167
"Conviviente (017)",1011,22,460,336,95,15,12,2,,,69
"Separado(a) (018)",74,1,26,24,9,5,2,,,,7
"Casado(a) (019)",502,10,195,182,51,22,11,3,,,28
"Viudo(a) (020)",90,1,35,27,12,4,3,,,,8
"Divorciado(a) (021)",5,1,2,,1,,,,,,1
"Soltero(a) (022)",141,2,27,26,18,11,3,,,,54
