"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia OCROS (000)",3528,158,2,1342,1362,146,173,99,246
"Empleado (001)",404,6,,45,90,28,72,27,136
"Obrero (002)",862,46,,347,375,29,17,25,23
"Trabajador independiente (003)",1821,73,1,767,715,77,73,35,80
"Empleador o patrono (004)",36,,,10,19,,3,1,3
"Trabajador familiar no remunerado (005)",381,29,,165,155,10,8,10,4
"Trabajador del hogar (006)",24,4,1,8,8,2,,1,
"Hombres (008)",2606,79,2,996,1084,114,104,66,161
"Empleado (009)",224,,,25,64,23,32,12,68
"Obrero (010)",735,31,,283,334,27,17,23,20
"Trabajador independiente (011)",1382,38,1,582,565,58,46,24,68
"Empleador o patrono (012)",31,,,8,16,,3,1,3
"Trabajador familiar no remunerado (013)",229,9,,97,103,6,6,6,2
"Trabajador del hogar (014)",5,1,1,1,2,,,,
"Mujeres (016)",922,79,,346,278,32,69,33,85
"Empleado (017)",180,6,,20,26,5,40,15,68
"Obrero (018)",127,15,,64,41,2,,2,3
"Trabajador independiente (019)",439,35,,185,150,19,27,11,12
"Empleador o patrono (020)",5,,,2,3,,,,
"Trabajador familiar no remunerado (021)",152,20,,68,52,4,2,4,2
"Trabajador del hogar (022)",19,3,,7,6,2,,1,
,,,,,,,,,
"URBANA (024)",2130,73,2,758,805,96,128,70,198
"Empleado (025)",348,4,,38,80,24,61,25,116
"Obrero (026)",454,20,,185,193,15,9,13,19
"Trabajador independiente (027)",1086,36,1,426,436,50,53,25,59
"Empleador o patrono (028)",23,,,6,13,,1,1,2
"Trabajador familiar no remunerado (029)",204,11,,96,78,7,4,6,2
"Trabajador del hogar (030)",15,2,1,7,5,,,,
"Hombres (032)",1508,26,2,527,634,77,73,45,124
"Empleado (033)",194,,,20,57,20,29,12,56
"Obrero (034)",392,12,,153,175,15,9,12,16
"Trabajador independiente (035)",782,11,1,298,336,39,31,17,49
"Empleador o patrono (036)",19,,,4,11,,1,1,2
"Trabajador familiar no remunerado (037)",117,2,,51,54,3,3,3,1
"Trabajador del hogar (038)",4,1,1,1,1,,,,
"Mujeres (040)",622,47,,231,171,19,55,25,74
"Empleado (041)",154,4,,18,23,4,32,13,60
"Obrero (042)",62,8,,32,18,,,1,3
"Trabajador independiente (043)",304,25,,128,100,11,22,8,10
"Empleador o patrono (044)",4,,,2,2,,,,
"Trabajador familiar no remunerado (045)",87,9,,45,24,4,1,3,1
"Trabajador del hogar (046)",11,1,,6,4,,,,
,,,,,,,,,
"RURAL (048)",1398,85,,584,557,50,45,29,48
"Empleado (049)",56,2,,7,10,4,11,2,20
"Obrero (050)",408,26,,162,182,14,8,12,4
"Trabajador independiente (051)",735,37,,341,279,27,20,10,21
"Empleador o patrono (052)",13,,,4,6,,2,,1
"Trabajador familiar no remunerado (053)",177,18,,69,77,3,4,4,2
"Trabajador del hogar (054)",9,2,,1,3,2,,1,
"Hombres (056)",1098,53,,469,450,37,31,21,37
"Empleado (057)",30,,,5,7,3,3,,12
"Obrero (058)",343,19,,130,159,12,8,11,4
"Trabajador independiente (059)",600,27,,284,229,19,15,7,19
"Empleador o patrono (060)",12,,,4,5,,2,,1
"Trabajador familiar no remunerado (061)",112,7,,46,49,3,3,3,1
"Trabajador del hogar (062)",1,,,,1,,,,
"Mujeres (064)",300,32,,115,107,13,14,8,11
"Empleado (065)",26,2,,2,3,1,8,2,8
"Obrero (066)",65,7,,32,23,2,,1,
"Trabajador independiente (067)",135,10,,57,50,8,5,3,2
"Empleador o patrono (068)",1,,,,1,,,,
"Trabajador familiar no remunerado (069)",65,11,,23,28,,1,1,1
"Trabajador del hogar (070)",8,2,,1,2,2,,1,
