"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CASMA (000)",32589,2652,4890,1038,24045
"Conviviente (001)",10658,614,1195,277,8580
"Separado(a) (002)",1452,64,161,44,1183
"Casado(a) (003)",7393,231,2003,356,4823
"Viudo(a) (004)",1239,43,221,51,925
"Divorciado(a) (005)",118,3,26,10,79
"Soltero(a) (006)",11729,1697,1284,300,8455
"Hombres (008)",16598,1173,2381,613,12451
"Conviviente (009)",5222,179,602,168,4278
"Separado(a) (010)",463,11,51,18,383
"Casado(a) (011)",3679,92,999,217,2383
"Viudo(a) (012)",372,13,63,17,280
"Divorciado(a) (013)",56,2,9,8,37
"Soltero(a) (014)",6806,876,657,185,5090
"Mujeres (016)",15991,1479,2509,425,11594
"Conviviente (017)",5436,435,593,109,4302
"Separado(a) (018)",989,53,110,26,800
"Casado(a) (019)",3714,139,1004,139,2440
"Viudo(a) (020)",867,30,158,34,645
"Divorciado(a) (021)",62,1,17,2,42
"Soltero(a) (022)",4923,821,627,115,3365
,,,,,
"URBANA (024)",22808,1209,4224,850,16559
"Conviviente (025)",7178,268,1003,218,5697
"Separado(a) (026)",1085,40,142,37,866
"Casado(a) (027)",5368,118,1744,290,3234
"Viudo(a) (028)",848,15,199,42,593
"Divorciado(a) (029)",101,,25,7,69
"Soltero(a) (030)",8228,768,1111,256,6100
"Hombres (032)",11410,513,2008,490,8419
"Conviviente (033)",3479,66,486,130,2802
"Separado(a) (034)",348,8,46,15,279
"Casado(a) (035)",2652,54,866,173,1571
"Viudo(a) (036)",242,3,55,14,171
"Divorciado(a) (037)",44,,8,5,31
"Soltero(a) (038)",4645,382,547,153,3565
"Mujeres (040)",11398,696,2216,360,8140
"Conviviente (041)",3699,202,517,88,2895
"Separado(a) (042)",737,32,96,22,587
"Casado(a) (043)",2716,64,878,117,1663
"Viudo(a) (044)",606,12,144,28,422
"Divorciado(a) (045)",57,,17,2,38
"Soltero(a) (046)",3583,386,564,103,2535
,,,,,
"RURAL (048)",9781,1443,666,188,7486
"Conviviente (049)",3480,346,192,59,2883
"Separado(a) (050)",367,24,19,7,317
"Casado(a) (051)",2025,113,259,66,1589
"Viudo(a) (052)",391,28,22,9,332
"Divorciado(a) (053)",17,3,1,3,10
"Soltero(a) (054)",3501,929,173,44,2355
"Hombres (056)",5188,660,373,123,4032
"Conviviente (057)",1743,113,116,38,1476
"Separado(a) (058)",115,3,5,3,104
"Casado(a) (059)",1027,38,133,44,812
"Viudo(a) (060)",130,10,8,3,109
"Divorciado(a) (061)",12,2,1,3,6
"Soltero(a) (062)",2161,494,110,32,1525
"Mujeres (064)",4593,783,293,65,3454
"Conviviente (065)",1737,233,76,21,1407
"Separado(a) (066)",252,21,14,4,213
"Casado(a) (067)",998,75,126,22,777
"Viudo(a) (068)",261,18,14,6,223
"Divorciado(a) (069)",5,1,,,4
"Soltero(a) (070)",1340,435,63,12,830
